01/21/2025 10:12:25Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,03397  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,03398  	1327,82048  	-244,98909  	-244,98909  	26,41224  	0,04956  	0,24019  	85706,53851  	0,19814  	0,20630  	1,98486  	1,98146  	425456,83108  	0,00000  	58,47813  	25295332,54600  	0,29687  	0,95897  	Inf  	-Inf  	0,00405  	0,00492  	0,00396  	0,00861  	1327,62170  	0,00400  	0,00427  
4,03523  	1327,82048  	883,43524  	883,48262  	26,41314  	0,05601  	0,26554  	85706,53851  	0,21748  	0,21094  	2,19447  	2,19092  	182576919,10869  	313,06108  	64,18595  	25295332,54600  	0,30354  	0,02506  	NaN  	NaN  	0,00406  	0,00501  	0,00396  	0,00910  	1327,62170  	0,00402  	0,00428  
5,03543  	1327,82048  	309,56030  	1327,82053  	26,41370  	0,04659  	0,26696  	85706,53851  	0,21785  	0,21680  	2,20615  	2,20259  	114833326,80457  	5596872,46432  	64,29532  	25295332,54600  	0,31199  	0,02903  	-Inf  	-Inf  	0,00405  	0,00501  	0,00395  	0,00913  	1327,62170  	0,00399  	0,00429  
6,03488  	1327,82048  	775,23683  	1327,82053  	26,41535  	0,04752  	0,26681  	19849,74138  	0,21950  	0,21929  	2,20494  	2,20139  	577915685,97876  	3097426,33985  	64,78172  	5858430,61435  	0,31556  	0,01003  	-Inf  	-Inf  	0,00406  	0,00502  	0,00396  	0,00912  	307,48193  	0,00399  	0,00429  
7,03600  	1327,82048  	305,39245  	305,41556  	26,41680  	0,04891  	0,26696  	50178,75514  	0,21828  	0,21870  	2,20615  	2,20259  	132473,70337  	133,34251  	64,42180  	14809702,03774  	0,31471  	3,05300  	NaN  	NaN  	0,00406  	0,00501  	0,00396  	0,00913  	777,28663  	0,00400  	0,00429  
8,03742  	1327,82048  	-244,98909  	-244,98909  	26,41702  	0,05254  	0,26611  	85706,53851  	0,21886  	0,21949  	2,19912  	2,19557  	452658,07254  	0,00000  	64,59505  	25295332,54600  	0,31585  	1,01670  	Inf  	-Inf  	0,00406  	0,00502  	0,00396  	0,00911  	1327,62170  	0,00401  	0,00429  
9,03688  	1327,82048  	781,28741  	-244,98909  	26,41687  	0,05142  	0,26636  	19459,16890  	0,21879  	0,21875  	2,20119  	2,19764  	49677,41745  	6224749,64142  	64,57363  	5743157,48869  	0,31478  	6,33812  	NaN  	NaN  	0,00406  	0,00502  	0,00396  	0,00911  	301,43185  	0,00400  	0,00429  
10,03934  	1327,82048  	299,26503  	783,54356  	26,41784  	0,05126  	0,26684  	50574,28708  	0,22055  	0,21935  	2,20517  	2,20161  	7591203,37633  	2928683,07860  	65,09308  	14926438,89488  	0,31565  	0,20243  	NaN  	NaN  	0,00406  	0,00502  	0,00396  	0,00912  	783,41353  	0,00400  	0,00429  
11,04067  	1327,82048  	-244,98909  	1327,82053  	26,41942  	0,04974  	0,26727  	85706,53851  	0,21895  	0,21853  	2,20878  	2,20522  	7563964,49239  	9228228,35184  	64,61950  	25295332,54600  	0,31447  	0,19637  	NaN  	NaN  	0,00406  	0,00502  	0,00396  	0,00913  	1327,62170  	0,00400  	0,00429  
12,04089  	292,27486  	790,51308  	1327,82053  	26,41945  	0,04980  	0,26654  	85706,53851  	0,21955  	0,21946  	2,20269  	2,19913  	123714667,31706  	162,00724  	64,79639  	25295332,54600  	567,93251  	0,01020  	-Inf  	-Inf  	0,00406  	0,00502  	0,00396  	0,00912  	1327,62170  	0,00400  	0,00429  
13,04204  	793,07779  	289,73116  	289,75361  	26,41970  	0,04868  	0,26650  	18700,89696  	0,21929  	0,21904  	2,20235  	2,19879  	52694,52416  	4,26876  	64,72029  	5519361,95094  	3,18751  	3,98965  	NaN  	NaN  	0,00406  	0,00502  	0,00396  	0,00912  	289,68601  	0,00400  	0,00429  
14,04136  	1327,82048  	795,85721  	795,90091  	26,42163  	0,05248  	0,26668  	51371,93535  	0,21747  	0,21896  	2,20390  	2,20034  	96575658,65134  	270,58549  	64,18396  	15161855,91965  	0,31508  	0,03701  	NaN  	NaN  	0,00406  	0,00501  	0,00396  	0,00912  	795,76932  	0,00401  	0,00429  
15,04224  	284,94175  	284,91952  	284,94177  	26,42196  	0,05161  	0,26687  	85706,53851  	0,21840  	0,21977  	2,20546  	2,20190  	15713,99020  	0,00652  	64,45805  	25295332,54600  	658,53443  	4,61648  	-Inf  	-Inf  	0,00406  	0,00501  	0,00396  	0,00912  	1327,62170  	0,00401  	0,00429  
16,04276  	-244,98909  	799,73507  	799,77893  	26,42254  	0,05066  	0,26654  	85706,53851  	0,21952  	0,21917  	2,20267  	2,19911  	20806366,58694  	0,10076  	64,78911  	25295332,54600  	37,23216  	0,03497  	-Inf  	-Inf  	0,00405  	0,00502  	0,00396  	0,00912  	1327,62170  	0,00400  	0,00429  
17,04387  	802,08326  	1327,75450  	280,74815  	26,42317  	0,04908  	0,26638  	85706,53851  	0,21864  	0,21930  	2,20140  	2,19784  	61696208,02889  	216747,13351  	64,52825  	25295332,54600  	3,02842  	0,03306  	NaN  	NaN  	0,00406  	0,00501  	0,00396  	0,00911  	1327,62170  	0,00400  	0,00429  
18,04501  	278,75681  	1327,75450  	804,07461  	26,42285  	0,04911  	0,26695  	85706,53851  	0,21820  	0,21918  	2,20606  	2,20250  	122104136,43704  	139,08895  	64,39885  	25295332,54600  	745,02902  	0,00979  	-Inf  	-Inf  	0,00405  	0,00501  	0,00396  	0,00913  	1327,62170  	0,00400  	0,00429  
19,04567  	806,69185  	1327,75450  	276,13956  	26,42380  	0,04808  	0,26699  	85706,53851  	0,21944  	0,21923  	2,20644  	2,20288  	60900633,24681  	221696,04516  	64,76415  	25295332,54600  	2,94818  	0,03279  	NaN  	NaN  	0,00406  	0,00502  	0,00396  	0,00913  	1327,62170  	0,00399  	0,00429  
20,04581  	1327,82048  	1327,75450  	809,62976  	26,42512  	0,05015  	0,26653  	85706,53851  	0,21751  	0,21950  	2,20265  	2,19909  	641159180,00865  	3065441,91812  	64,19566  	25295332,54600  	0,31585  	0,00988  	NaN  	NaN  	0,00406  	0,00501  	0,00395  	0,00912  	1327,62170  	0,00400  	0,00429  
21,04557  	271,10870  	1327,75450  	1327,82053  	26,42580  	0,04657  	0,26719  	85706,53851  	0,21774  	0,21841  	2,20806  	2,20450  	472273312,72171  	0,01579  	64,26401  	25295332,54600  	869,89496  	0,00365  	-Inf  	-Inf  	0,00406  	0,00501  	0,00395  	0,00913  	1327,62170  	0,00399  	0,00429  
22,04652  	813,82631  	1327,75450  	269,00509  	26,42627  	0,04601  	0,26644  	85706,53851  	0,21767  	0,21969  	2,20191  	2,19835  	59832581,25819  	226757,00882  	64,24351  	25295332,54600  	2,83640  	0,03200  	NaN  	NaN  	0,00406  	0,00501  	0,00396  	0,00912  	1327,62170  	0,00399  	0,00429  
23,04964  	267,84940  	1327,75450  	814,98203  	26,42770  	0,05175  	0,26634  	85706,53851  	0,21648  	0,21962  	2,20107  	2,19751  	120910138,36406  	133,66593  	63,89063  	25295332,54600  	936,52194  	0,01009  	-Inf  	-Inf  	0,00406  	0,00500  	0,00396  	0,00911  	1327,62170  	0,00401  	0,00429  
