01/24/2025 11:13:56Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,03635  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,03727  	-244,98909  	1327,75450  	-244,98909  	27,08538  	0,04420  	0,24037  	85706,53851  	0,10494  	0,21066  	1,98634  	1,98294  	1523749,61594  	3116,25924  	30,97144  	25295332,54600  	36,03449  	0,17455  	-Inf  	-Inf  	0,00405  	0,00449  	0,00396  	0,00862  	1327,62170  	0,00398  	0,00428  
4,03800  	884,46650  	1327,75450  	-244,98909  	27,08628  	0,04481  	0,26651  	85706,53851  	0,11528  	0,21541  	2,20244  	2,19889  	4909888,99940  	578299,84273  	34,02326  	25295332,54600  	1,89063  	0,17695  	NaN  	NaN  	0,00406  	0,00453  	0,00396  	0,00912  	1327,62170  	0,00398  	0,00428  
5,03803  	1327,82048  	306,19434  	-244,98909  	27,08695  	0,05136  	0,26625  	85706,53851  	0,11767  	0,22225  	2,20033  	2,19678  	1209,26151  	3350393,94797  	34,73014  	25295332,54600  	0,31912  	346,79561  	NaN  	NaN  	0,00405  	0,00455  	0,00395  	0,00911  	1327,62170  	0,00400  	0,00429  
6,03902  	304,22105  	778,56740  	778,61038  	27,08742  	0,04815  	0,26654  	85706,53851  	0,11365  	0,22379  	2,20272  	2,19917  	18227061,60979  	0,01428  	33,54187  	25295332,54600  	453,58825  	0,03738  	-Inf  	-Inf  	0,00405  	0,00453  	0,00395  	0,00912  	1327,62170  	0,00399  	0,00430  
7,03909  	-244,98909  	302,32568  	1327,82053  	27,08841  	0,04875  	0,26722  	19513,88793  	0,11519  	0,22359  	2,20834  	2,20478  	24059473,66983  	2241,30028  	33,99761  	5759307,20192  	38,24689  	0,03097  	-Inf  	-Inf  	0,00406  	0,00453  	0,00396  	0,00913  	302,27947  	0,00400  	0,00430  
8,04209  	-244,98909  	-244,98909  	1327,82053  	27,08823  	0,04986  	0,26569  	50500,18448  	0,11239  	0,22335  	2,19566  	2,19210  	1616209,59613  	3515,76635  	33,17140  	14904568,33504  	38,20604  	0,19688  	NaN  	NaN  	0,00406  	0,00452  	0,00396  	0,00910  	782,26566  	0,00400  	0,00430  
9,04205  	-244,98909  	-244,98909  	1327,82053  	27,08924  	0,05231  	0,26641  	85706,53851  	0,11521  	0,22358  	2,20162  	2,19806  	1617846,25209  	3688,25470  	34,00419  	25295332,54600  	38,24500  	0,20654  	NaN  	NaN  	0,00406  	0,00453  	0,00396  	0,00912  	1327,62170  	0,00401  	0,00430  
10,04214  	788,68811  	788,64475  	1327,82053  	27,09036  	0,04858  	0,26659  	18984,24425  	0,11563  	0,22288  	2,20314  	2,19958  	357915781,85719  	99082,17235  	34,12617  	5602988,75479  	3,31502  	0,00999  	-Inf  	-Inf  	0,00405  	0,00454  	0,00396  	0,00912  	294,07514  	0,00400  	0,00429  
11,04343  	290,91723  	290,89475  	1327,82053  	27,09224  	0,04820  	0,26663  	51114,59905  	0,11482  	0,22334  	2,20340  	2,19985  	22266297,27806  	300,69349  	33,88744  	15085905,96925  	585,87272  	0,03158  	-Inf  	-Inf  	0,00406  	0,00453  	0,00396  	0,00912  	791,78311  	0,00399  	0,00430  
