01/24/2025 10:58:58Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,04348  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,04425  	-244,98909  	1327,75450  	-244,98909  	25,32817  	0,04629  	-0,00399  	-15815,93170  	-0,00104  	0,00350  	-0,03394  	-0,03588  	25121,81725  	3362,35379  	-0,30608  	-4667896,50935  	0,58713  	0,18281  	-Inf  	-Inf  	0,00406  	0,00400  	0,00396  	0,00392  	-244,98909  	0,00399  	0,00400  
4,04567  	-244,98909  	1327,75450  	883,28531  	25,32761  	0,04628  	-0,00172  	57012,46556  	-0,00333  	0,00325  	-0,01519  	-0,01715  	2445741,93294  	950,11853  	-0,98207  	16826595,73706  	0,54607  	0,00789  	-Inf  	-Inf  	0,00405  	0,00398  	0,00396  	0,00397  	883,14267  	0,00399  	0,00400  
5,04783  	774,05848  	308,74968  	1327,82053  	25,33004  	0,05030  	0,01435  	19928,56459  	-0,00530  	0,16886  	0,11764  	0,11559  	51291972,56273  	168005,04396  	-1,56419  	5881694,41080  	2,76917  	0,03141  	-Inf  	-Inf  	0,00406  	0,00398  	0,00396  	0,00428  	308,70292  	0,00400  	0,00422  
6,04881  	304,97513  	777,81335  	304,97515  	25,41225  	0,04443  	0,03720  	-15815,93170  	0,00131  	0,40747  	0,30660  	0,30441  	3028870,26623  	143,50669  	0,38528  	-4667896,50935  	840,46184  	0,17544  	-Inf  	-Inf  	0,00406  	0,00401  	0,00396  	0,00471  	-244,98909  	0,00398  	0,00454  
7,04870  	-244,98909  	302,14758  	780,66089  	25,67832  	0,04783  	0,12329  	50388,21504  	0,03315  	0,61887  	1,01835  	1,01565  	4454386,97111  	1050,92870  	9,78412  	14871521,80007  	104,32064  	0,18888  	-Inf  	-Inf  	0,00405  	0,00415  	0,00396  	0,00637  	780,53122  	0,00399  	0,00482  
8,05029  	-244,98909  	-244,98909  	297,41327  	25,88002  	0,04441  	0,23649  	85706,53851  	0,09761  	0,41626  	1,95424  	1,95086  	471,65446  	1102,16707  	28,80861  	25295332,54600  	70,31562  	272,02426  	NaN  	NaN  	0,00406  	0,00445  	0,00395  	0,00854  	1327,62170  	0,00398  	0,00455  
9,05138  	787,08855  	787,04525  	-244,98909  	25,85458  	0,05021  	0,25740  	85706,53851  	0,10302  	0,23058  	2,12717  	2,12367  	33224,98684  	191254,23837  	30,40567  	25295332,54600  	3,48741  	5,84750  	NaN  	NaN  	0,00405  	0,00448  	0,00396  	0,00894  	1327,62170  	0,00400  	0,00430  
10,05152  	294,05336  	294,03074  	788,77807  	25,78729  	0,05015  	0,25719  	85706,53851  	0,09907  	0,20957  	2,12536  	2,12186  	1495024,98015  	151,88293  	29,24043  	25295332,54600  	530,20182  	0,19804  	-Inf  	-Inf  	0,00405  	0,00446  	0,00395  	0,00894  	1327,62170  	0,00400  	0,00428  
11,05153  	-244,98909  	-244,98909  	291,11036  	25,76631  	0,04140  	0,25743  	18788,47258  	0,10499  	0,21203  	2,12737  	2,12387  	240,14368  	1017,48444  	30,98562  	5545208,92146  	35,77383  	235,54581  	NaN  	NaN  	0,00406  	0,00449  	0,00395  	0,00894  	291,04258  	0,00397  	0,00428  
