01/23/2025 11:02:10Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,02545  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,02552  	1327,82048  	1327,75450  	1327,82053  	25,43582  	0,05022  	0,02617  	85706,53851  	0,05197  	0,06117  	0,21542  	0,21330  	704099992,72259  	389,36801  	15,33699  	25295332,54600  	0,08832  	0,00394  	-Inf  	-Inf  	0,00406  	0,00424  	0,00396  	0,00450  	1327,62170  	0,00400  	0,00408  
4,02674  	1327,82048  	1327,75450  	1327,82053  	25,47958  	0,04625  	0,02639  	12878,14125  	0,05048  	0,06023  	0,21722  	0,21510  	693153333,70397  	358,63759  	14,89934  	3800840,29959  	0,08693  	0,00362  	-Inf  	-Inf  	0,00406  	0,00423  	0,00396  	0,00451  	199,48994  	0,00399  	0,00408  
5,02888  	1327,82048  	310,07838  	310,10169  	25,53048  	0,04885  	0,02613  	49876,27258  	0,04887  	0,05975  	0,21503  	0,21291  	40564,25729  	133,73980  	14,42225  	14720427,67044  	0,08624  	2,82049  	NaN  	NaN  	0,00406  	0,00423  	0,00396  	0,00450  	772,60110  	0,00400  	0,00408  
6,03161  	1327,82048  	775,58440  	775,62725  	25,58289  	0,04746  	0,02645  	85706,53851  	0,04854  	0,05935  	0,21768  	0,21556  	22152869,95018  	238,93791  	14,32495  	25295332,54600  	0,08563  	0,03747  	NaN  	NaN  	0,00406  	0,00423  	0,00396  	0,00451  	1327,62170  	0,00399  	0,00408  
7,03262  	1327,82048  	1327,75450  	1327,82053  	25,63032  	0,04410  	0,02630  	85706,53851  	0,04770  	0,05913  	0,21643  	0,21430  	680439799,99188  	342,21871  	14,07825  	25295332,54600  	0,08531  	0,00346  	-Inf  	-Inf  	0,00406  	0,00422  	0,00396  	0,00450  	1327,62170  	0,00398  	0,00408  
8,03316  	296,34126  	296,31855  	1327,82053  	25,66769  	0,05042  	0,02637  	19126,12033  	0,04934  	0,05958  	0,21707  	0,21495  	6227924,14605  	325,17412  	14,56189  	5644861,90379  	144,46366  	0,03255  	-Inf  	-Inf  	0,00406  	0,00423  	0,00396  	0,00451  	296,27284  	0,00400  	0,00408  
9,03482  	-244,98909  	790,20670  	1327,82053  	25,69454  	0,04924  	0,02625  	51007,18842  	0,05118  	0,06049  	0,21605  	0,21392  	34688735,47665  	1215,06927  	15,10418  	15054204,91642  	10,19886  	0,01009  	-Inf  	-Inf  	0,00405  	0,00424  	0,00396  	0,00450  	790,11929  	0,00400  	0,00408  
10,03563  	-244,98909  	289,84435  	289,86680  	25,70980  	0,04449  	0,02657  	18708,20301  	0,05115  	0,05992  	0,21868  	0,21655  	5104,55576  	0,04584  	15,09501  	5521518,24938  	10,10326  	3,63844  	-Inf  	-Inf  	0,00405  	0,00424  	0,00396  	0,00451  	289,79919  	0,00398  	0,00408  
11,03559  	-244,98909  	-244,98909  	-244,98909  	25,72325  	0,04863  	0,02619  	-15815,93170  	0,05208  	0,06098  	0,21552  	0,21339  	26161,08038  	0,00000  	15,37005  	-4667896,50935  	10,28445  	0,94089  	Inf  	-Inf  	0,00406  	0,00424  	0,00396  	0,00450  	-244,98909  	0,00400  	0,00408  
12,03773  	798,19772  	798,15395  	798,19775  	25,73804  	0,04849  	0,02638  	-15815,93170  	0,05254  	0,06152  	0,21710  	0,21497  	16410322,34981  	8,61509  	15,50617  	-4667896,50935  	0,87241  	0,03376  	-Inf  	-Inf  	0,00406  	0,00424  	0,00396  	0,00451  	-244,98909  	0,00400  	0,00408  
13,03704  	283,67848  	283,65630  	1327,82053  	25,75213  	0,04914  	0,02653  	51581,84960  	0,05309  	0,06180  	0,21835  	0,21623  	5851495,93212  	286,64200  	15,66883  	15223809,77785  	192,59526  	0,03283  	-Inf  	-Inf  	0,00406  	0,00425  	0,00396  	0,00451  	799,02095  	0,00400  	0,00408  
14,03981  	802,50334  	-244,98909  	280,32807  	25,76588  	0,04627  	0,02626  	18092,49223  	0,05286  	0,06218  	0,21609  	0,21396  	202,04939  	102297,55739  	15,60006  	5339798,05329  	0,85987  	230,34297  	Inf  	-Inf  	0,00406  	0,00425  	0,00396  	0,00450  	280,26166  	0,00399  	0,00408  
15,04019  	276,04131  	806,74596  	-244,98909  	25,77783  	0,04671  	0,02634  	52074,81726  	0,05275  	0,06184  	0,21683  	0,21470  	3841,49763  	259,45974  	15,56927  	15369303,70606  	225,31093  	4,50443  	NaN  	NaN  	0,00406  	0,00424  	0,00396  	0,00451  	806,65715  	0,00399  	0,00408  
