01/23/2025 11:10:34Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,03568  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,03552  	1327,82048  	1327,75450  	1327,82053  	25,73262  	0,05450  	0,12047  	85706,53851  	0,22459  	0,13190  	0,99504  	0,99235  	1517805452,50168  	423,16353  	66,28562  	25295332,54600  	0,19024  	0,00427  	-Inf  	-Inf  	0,00406  	0,00504  	0,00395  	0,00631  	1327,62170  	0,00401  	0,00417  
4,03588  	199,05318  	199,03455  	1327,82053  	25,73262  	0,04671  	0,14063  	85706,53851  	0,26113  	0,13883  	1,16174  	1,15893  	6222733,60784  	224,27778  	77,06824  	25295332,54600  	2123,98805  	0,03953  	-Inf  	-Inf  	0,00405  	0,00521  	0,00396  	0,00670  	1327,62170  	0,00399  	0,00418  
5,03733  	774,08076  	-244,98909  	308,75065  	25,73365  	0,04740  	0,14053  	85706,53851  	0,26244  	0,14514  	1,16091  	1,15810  	454,31880  	86358,74466  	77,45535  	25295332,54600  	2,37403  	328,88736  	Inf  	-Inf  	0,00406  	0,00522  	0,00396  	0,00670  	1327,62170  	0,00399  	0,00419  
6,03930  	1327,82048  	-244,98909  	775,79766  	25,73481  	0,04975  	0,14082  	85706,53851  	0,26177  	0,14505  	1,16328  	1,16048  	30470,82591  	5971413,73397  	77,25753  	25295332,54600  	0,20920  	6,47979  	Inf  	-Inf  	0,00406  	0,00521  	0,00395  	0,00670  	1327,62170  	0,00400  	0,00419  
7,04040  	1327,82048  	-244,98909  	303,89194  	25,73669  	0,04881  	0,14059  	85706,53851  	0,26186  	0,14456  	1,16141  	1,15860  	787,35879  	3150255,02080  	77,28383  	25295332,54600  	0,20849  	321,48554  	Inf  	-Inf  	0,00406  	0,00522  	0,00396  	0,00670  	1327,62170  	0,00400  	0,00419  
8,04434  	300,42321  	782,36508  	-244,98909  	25,73803  	0,05117  	0,14029  	85706,53851  	0,26120  	0,14427  	1,15890  	1,15609  	7021,80092  	342,95706  	77,09143  	25295332,54600  	322,66576  	6,24042  	NaN  	NaN  	0,00406  	0,00521  	0,00396  	0,00669  	1327,62170  	0,00400  	0,00419  
9,04492  	-244,98909  	296,75116  	786,05754  	25,73923  	0,04515  	0,14061  	85706,53851  	0,26110  	0,14439  	1,16154  	1,15873  	1039498,89031  	1013,36014  	77,06088  	25295332,54600  	24,35470  	0,17830  	-Inf  	-Inf  	0,00406  	0,00521  	0,00396  	0,00670  	1327,62170  	0,00398  	0,00419  
10,04731  	790,60311  	790,55967  	1327,82053  	25,73837  	0,04878  	0,14024  	18860,63400  	0,26184  	0,14482  	1,15848  	1,15568  	234902394,71191  	99619,22618  	77,27946  	5566506,56373  	2,14684  	0,00999  	-Inf  	-Inf  	0,00406  	0,00522  	0,00396  	0,00669  	292,16038  	0,00400  	0,00419  
11,04727  	1327,82048  	1327,75450  	286,19561  	25,73715  	0,04645  	0,14049  	-15815,93170  	0,26258  	0,14472  	1,16059  	1,15778  	69862277,79641  	5688748,66751  	77,49676  	-4667896,50935  	0,20872  	0,03083  	NaN  	NaN  	0,00406  	0,00522  	0,00396  	0,00670  	-244,98909  	0,00399  	0,00419  
12,04875  	283,46990  	1327,75450  	799,36153  	25,73814  	0,04934  	0,14071  	51595,31300  	0,26237  	0,14473  	1,16236  	1,15955  	81199211,21172  	145,38720  	77,43675  	15227783,35082  	453,04164  	0,00992  	-Inf  	-Inf  	0,00406  	0,00522  	0,00396  	0,00670  	799,22950  	0,00400  	0,00419  
13,05086  	802,29338  	1327,75450  	280,53803  	25,73919  	0,04784  	0,14034  	85706,53851  	0,26206  	0,14407  	1,15927  	1,15647  	40545899,99963  	210435,09540  	77,34417  	25295332,54600  	1,99508  	0,03224  	NaN  	NaN  	0,00406  	0,00522  	0,00396  	0,00669  	1327,62170  	0,00399  	0,00419  
14,05284  	1327,82048  	277,89709  	804,91240  	25,74035  	0,05109  	0,14042  	17936,99346  	0,26239  	0,14464  	1,15998  	1,15717  	5008216,71487  	3166039,05228  	77,44105  	5293904,31945  	0,20860  	0,20175  	NaN  	NaN  	0,00406  	0,00522  	0,00395  	0,00670  	277,85294  	0,00400  	0,00419  
15,05440  	274,46807  	808,31913  	1327,82053  	25,74061  	0,04866  	0,14096  	52176,36725  	0,26281  	0,14496  	1,16446  	1,16165  	80629415,81934  	132,06303  	77,56423  	15399275,05516  	546,06793  	0,00961  	-Inf  	-Inf  	0,00406  	0,00522  	0,00396  	0,00671  	808,23019  	0,00400  	0,00419  
