01/23/2025 11:18:52Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,01991  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,02268  	-244,98909  	1327,75450  	1327,82053  	26,29793  	0,04890  	0,29542  	85706,53851  	0,53756  	0,21522  	2,44151  	2,43778  	515985988,26374  	0,14670  	158,65494  	25295332,54600  	36,51363  	0,00383  	-Inf  	-Inf  	0,00406  	0,00649  	0,00396  	0,00967  	1327,62170  	0,00400  	0,00428  
4,02295  	884,27006  	1327,75450  	1327,82053  	26,29918  	0,04854  	0,25477  	85706,53851  	0,47013  	0,21140  	2,10536  	2,10187  	1602882167,76371  	26,10910  	138,75219  	25295332,54600  	1,86491  	0,00380  	-Inf  	-Inf  	0,00406  	0,00618  	0,00395  	0,00889  	1327,62170  	0,00400  	0,00428  
5,02564  	306,07515  	1327,75450  	1327,82053  	26,30028  	0,05122  	0,19846  	85706,53851  	0,37314  	0,19179  	1,63987  	1,63672  	474193979,60789  	0,02364  	110,12688  	25295332,54600  	380,95594  	0,00401  	-Inf  	-Inf  	0,00405  	0,00573  	0,00396  	0,00781  	1327,62170  	0,00400  	0,00425  
6,02696  	780,72897  	1327,75450  	1327,82053  	26,29722  	0,04675  	0,14559  	85706,53851  	0,28108  	0,16368  	1,20270  	1,19987  	1091300243,35881  	10,82146  	82,95680  	25295332,54600  	2,56408  	0,00366  	-Inf  	-Inf  	0,00405  	0,00530  	0,00396  	0,00680  	1327,62170  	0,00399  	0,00422  
7,02693  	1327,82048  	1327,75450  	298,33372  	26,29201  	0,04978  	0,10070  	19254,72993  	0,20091  	0,13801  	0,83155  	0,82899  	69905258,13007  	6041782,92098  	59,29781  	5682819,59803  	0,19868  	0,03197  	NaN  	NaN  	0,00406  	0,00493  	0,00396  	0,00593  	298,26504  	0,00400  	0,00418  
8,02792  	294,67275  	294,65011  	788,15867  	26,28047  	0,04679  	0,06353  	50872,18584  	0,13512  	0,11058  	0,52428  	0,52193  	789253,03029  	142,88596  	39,87817  	15014360,40358  	273,71689  	0,18477  	-Inf  	-Inf  	0,00406  	0,00463  	0,00396  	0,00522  	788,02806  	0,00399  	0,00415  
9,02826  	790,97066  	-244,98909  	291,86075  	26,24953  	0,04546  	0,03367  	85706,53851  	0,08016  	0,08284  	0,27740  	0,27523  	264,99564  	93460,39069  	23,65796  	25295332,54600  	1,22172  	260,96481  	Inf  	-Inf  	0,00406  	0,00437  	0,00396  	0,00465  	1327,62170  	0,00399  	0,00411  
10,02964  	1327,82048  	792,92741  	-244,98909  	26,20045  	0,04842  	0,01151  	18707,79343  	0,03782  	0,05829  	0,09422  	0,09218  	15591,24826  	5922040,23100  	11,16273  	5521397,36722  	0,08395  	5,32464  	NaN  	NaN  	0,00405  	0,00418  	0,00396  	0,00422  	289,79284  	0,00400  	0,00408  
11,03063  	1327,82048  	287,54189  	795,26719  	26,16788  	0,04678  	-0,00261  	51331,03010  	0,01050  	0,01579  	-0,02255  	-0,02451  	546511,42520  	2798507,22505  	3,09908  	15149783,18786  	0,02274  	0,18472  	NaN  	NaN  	0,00406  	0,00405  	0,00395  	0,00395  	795,13569  	0,00399  	0,00402  
12,03130  	1327,82048  	796,90639  	1327,82053  	26,17430  	0,05116  	-0,00896  	85706,53851  	-0,00072  	0,00335  	-0,07503  	-0,07694  	9435823,06121  	3200506,86902  	-0,21376  	25295332,54600  	0,00483  	0,01034  	-Inf  	-Inf  	0,00406  	0,00400  	0,00396  	0,00383  	1327,62170  	0,00400  	0,00400  
13,03261  	282,41823  	1327,75450  	282,41825  	26,20516  	0,05123  	-0,00989  	85706,53851  	-0,00388  	0,00369  	-0,08276  	-0,08467  	345622,49537  	297,28501  	-1,14508  	25295332,54600  	11,70270  	0,03435  	-Inf  	-Inf  	0,00406  	0,00398  	0,00396  	0,00381  	1327,62170  	0,00400  	0,00400  
14,03271  	-244,98909  	1327,75450  	804,28478  	26,23793  	0,04832  	-0,00968  	17977,50507  	-0,00373  	0,00356  	-0,08101  	-0,08292  	2136019,37873  	1150,49635  	-1,10095  	5305860,87175  	0,60444  	0,00962  	-Inf  	-Inf  	0,00406  	0,00398  	0,00396  	0,00381  	278,48048  	0,00399  	0,00400  
15,03238  	-244,98909  	276,85012  	1327,82053  	26,25954  	0,04827  	-0,01011  	52021,19632  	-0,00384  	0,00372  	-0,08454  	-0,08645  	360054,12241  	2306,57228  	-1,13440  	15353478,07917  	0,63031  	0,03285  	-Inf  	-Inf  	0,00406  	0,00398  	0,00396  	0,00381  	805,82655  	0,00399  	0,00400  
16,03237  	808,37487  	808,33068  	274,45654  	26,27243  	0,05172  	-0,01011  	85706,53851  	-0,00343  	0,00335  	-0,08454  	-0,08644  	69765,92942  	122650,21703  	-1,01174  	25295332,54600  	0,04472  	0,20424  	NaN  	NaN  	0,00406  	0,00398  	0,00396  	0,00381  	1327,62170  	0,00401  	0,00400  
17,03260  	1327,82048  	1327,75450  	-244,98909  	26,27983  	0,04624  	-0,01002  	85706,53851  	-0,00182  	0,00327  	-0,08385  	-0,08576  	113245,36204  	8574154,42196  	-0,53711  	25295332,54600  	0,00471  	0,18264  	NaN  	NaN  	0,00406  	0,00399  	0,00396  	0,00381  	1327,62170  	0,00399  	0,00400  
18,03460  	1327,82048  	1327,75450  	811,10317  	26,28519  	0,04504  	-0,00997  	85706,53851  	-0,00400  	0,00315  	-0,08345  	-0,08536  	9249512,82802  	2743522,21494  	-1,18163  	25295332,54600  	0,00454  	0,00885  	NaN  	NaN  	0,00406  	0,00398  	0,00396  	0,00381  	1327,62170  	0,00398  	0,00400  
19,03471  	1327,82048  	1327,75450  	270,68620  	26,28775  	0,04972  	-0,00868  	85706,53851  	-0,00855  	0,00128  	-0,07278  	-0,07469  	580006,86330  	6196310,75001  	-2,52365  	25295332,54600  	0,00184  	0,03442  	NaN  	NaN  	0,00406  	0,00396  	0,00396  	0,00383  	1327,62170  	0,00400  	0,00400  
20,03686  	268,08155  	268,06003  	-244,98909  	26,28922  	0,05079  	-0,00722  	85706,53851  	-0,00915  	-0,08448  	-0,06069  	-0,06261  	-85,49495  	131,33002  	-2,70076  	25295332,54600  	-359,53786  	215,06609  	NaN  	NaN  	0,00406  	0,00396  	0,00396  	0,00386  	1327,62170  	0,00400  	0,00389  
21,03834  	818,62849  	818,58387  	818,62852  	26,28355  	0,04430  	-0,00548  	85706,53851  	-0,00931  	-0,14755  	-0,04630  	-0,04823  	-47550848,35151  	9,57394  	-2,74789  	25295332,54600  	-1,85543  	0,02762  	Inf  	-Inf  	0,00406  	0,00396  	0,00395  	0,00389  	1327,62170  	0,00398  	0,00380  
22,04148  	260,34386  	260,32266  	260,34388  	26,27439  	0,05395  	-0,00546  	85706,53851  	-0,00800  	-0,14783  	-0,04610  	-0,04803  	-4817,39328  	0,00554  	-2,36116  	25295332,54600  	-741,03463  	7,79358  	Inf  	-Inf  	0,00406  	0,00396  	0,00396  	0,00390  	1327,62170  	0,00401  	0,00380  
23,04149  	826,09423  	-244,98909  	826,09426  	26,26533  	0,04999  	-0,00474  	85706,53851  	-0,00361  	-0,14791  	-0,04014  	-0,04208  	-37911,33739  	275536,37332  	-1,06430  	25295332,54600  	-1,78375  	4,03785  	NaN  	NaN  	0,00406  	0,00398  	0,00396  	0,00391  	1327,62170  	0,00400  	0,00380  
24,04127  	253,68369  	829,10263  	1327,82053  	26,25654  	0,05043  	-0,00437  	85706,53851  	-0,00006  	-0,14771  	-0,03716  	-0,03909  	-79886049,60991  	118,26236  	-0,01861  	25295332,54600  	-853,09772  	0,00956  	Inf  	-Inf  	0,00406  	0,00400  	0,00396  	0,00392  	1327,62170  	0,00400  	0,00380  
25,04063  	833,87768  	1327,75450  	248,95372  	26,24849  	0,04779  	-0,00422  	16067,32606  	-0,00125  	-0,14618  	-0,03591  	-0,03785  	-37621244,64934  	282637,02967  	-0,36892  	4742092,75964  	-1,68843  	0,03513  	NaN  	NaN  	0,00406  	0,00399  	0,00396  	0,00392  	248,89128  	0,00399  	0,00381  
26,04236  	248,55855  	1327,75450  	834,27287  	26,24022  	0,05032  	-0,00410  	-15815,93170  	-0,00049  	-0,11134  	-0,03488  	-0,03682  	-59752125,66810  	114,59086  	-0,14561  	-4667896,50935  	-716,87035  	0,00944  	Inf  	-Inf  	0,00406  	0,00400  	0,00396  	0,00392  	-244,98909  	0,00400  	0,00385  
27,04235  	835,72792  	1327,75450  	247,10349  	26,23149  	0,04934  	-0,00401  	53942,71086  	0,00146  	-0,08907  	-0,03417  	-0,03611  	-22802414,64271  	296712,41157  	0,43116  	15920591,74800  	-1,01846  	0,03646  	NaN  	NaN  	0,00406  	0,00401  	0,00396  	0,00392  	835,59134  	0,00400  	0,00388  
28,04252  	245,02093  	1327,75450  	837,81050  	26,22384  	0,05201  	-0,00388  	85706,53851  	0,00328  	-0,06855  	-0,03304  	-0,03498  	-36581458,14863  	116,25258  	0,96896  	25295332,54600  	-475,53701  	0,00969  	Inf  	-Inf  	0,00406  	0,00402  	0,00396  	0,00393  	1327,62170  	0,00401  	0,00391  
29,04221  	840,03251  	1327,75450  	242,79890  	26,21815  	0,04713  	-0,00421  	85706,53851  	0,00072  	-0,05041  	-0,03577  	-0,03771  	-12746159,36955  	294569,27448  	0,21387  	25295332,54600  	-0,56299  	0,03524  	NaN  	NaN  	0,00405  	0,00400  	0,00396  	0,00392  	1327,62170  	0,00399  	0,00393  
30,04457  	1327,82048  	1327,75450  	-244,98909  	26,21245  	0,05059  	-0,00382  	85706,53851  	-0,00904  	-0,04686  	-0,03259  	-0,03453  	-1621454,43268  	9377702,51754  	-2,66934  	25295332,54600  	-0,06747  	0,19982  	NaN  	NaN  	0,00406  	0,00396  	0,00396  	0,00393  	1327,62170  	0,00400  	0,00394  
31,04798  	239,58081  	239,56048  	843,25061  	26,20678  	0,04959  	-0,00432  	85706,53851  	-0,01119  	-0,04732  	-0,03673  	-0,03867  	-268510,39266  	134,51579  	-3,30184  	25295332,54600  	-367,62061  	0,19582  	Inf  	-Inf  	0,00406  	0,00395  	0,00395  	0,00392  	1327,62170  	0,00400  	0,00394  
32,04797  	-244,98909  	-244,98909  	1327,82053  	26,20114  	0,04884  	-0,00424  	15236,33223  	-0,00971  	-0,04810  	-0,03604  	-0,03798  	-346891,38400  	3495,50925  	-2,86680  	4496834,16540  	-8,15146  	0,19282  	NaN  	NaN  	0,00406  	0,00395  	0,00396  	0,00392  	236,01896  	0,00400  	0,00394  
