Tempo	T_cold_in(C)	T_hot_in(C)	T_hot_out(C)	T_cold_out(C)	mdot_cold(kg/s)	mdot_air(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold	
81.76187	24.529	39.69682	39.5592	26.5236	-1.18512	0.04867	1.38408	1.41904	-3.02442	0.06341	-0.08562	-25.22902	-0.68229	418.81313	408.49641	-18235.73726	-9589.51491	Inf  	#NOME?	0.00627	0.00003	0.0042	0.00493	0.01035	0	0
82.76217	24.53662	39.69444	39.55797	26.52603	-1.18512	0.04917	1.38468	1.42264	-3.02442	0.06502	-0.08565	-25.16348	-0.67654	419.8777	408.67258	-18237.85551	-9589.19175	Inf  	#NOME?	0.00628	0.00003	0.00421	0.00494	0.01035	0	0
83.76182	24.54372	39.69193	39.55583	26.52866	-1.18512	0.04988	1.38543	1.41911	-3.02442	0.06612	-0.0857	-25.1069	-0.67474	418.83361	408.89455	-18239.90844	-9588.77486	Inf  	#NOME?	0.00627	0.00003	0.00421	0.00496	0.01036	0	0
84.76141	24.55033	39.69049	39.55421	26.53162	-1.18512	0.05049	1.38539	1.4212	-3.02442	0.06589	-0.08566	-25.0607	-0.67563	419.45132	408.88275	-18241.92779	-9588.50029	Inf  	#NOME?	0.00627	0.00003	0.00421	0.00497	0.01036	0	0
85.76277	24.55741	39.68806	39.55177	26.53421	-1.18512	0.05026	1.38653	1.41972	-3.02442	0.06569	-0.08568	-25.00384	-0.67566	419.01591	409.21994	-18243.96728	-9588.0635	Inf  	#NOME?	0.00627	0.00003	0.00421	0.00497	0.01036	0	0
86.76638	24.56466	39.68672	39.55023	26.53675	-1.18512	0.05111	1.38522	1.42147	-3.02442	0.06622	-0.08563	-24.94423	-0.67661	419.53067	408.83201	-18246.03136	-9587.80588	Inf  	#NOME?	0.00627	0.00003	0.00421	0.00498	0.01036	0	0
87.76659	24.57221	39.68383	39.54715	26.53988	-1.18512	0.05037	1.38556	1.42099	-3.02442	0.06604	-0.08568	-24.88838	-0.67758	419.39065	408.934	-18248.28499	-9587.27119	Inf  	#NOME?	0.00627	0.00003	0.00421	0.00497	0.01036	0	0
88.76811	24.58022	39.68181	39.54619	26.5438	-1.18512	0.05096	1.38451	1.41859	-3.02442	0.06483	-0.08567	-24.83667	-0.67234	418.68145	408.62355	-18250.80172	-9587.00414	Inf  	#NOME?	0.00627	0.00003	0.00421	0.00498	0.01035	0	0
89.76772	24.58657	39.68012	39.54435	26.547	-1.18512	0.05027	1.38527	1.41974	-3.02442	0.06637	-0.08576	-24.79683	-0.67309	419.02107	408.84721	-18252.81704	-9586.68759	Inf  	#NOME?	0.00627	0.00002	0.00421	0.00497	0.01036	0	0
90.7678	24.59316	39.67943	39.54319	26.54975	-1.18512	0.05041	1.3846	1.42033	-3.02442	0.06635	-0.08569	-24.74826	-0.67545	419.19514	408.64846	-18254.78506	-9586.52136	Inf  	#NOME?	0.00627	0.00003	0.00421	0.00497	0.01035	0	0
91.76923	24.60105	39.67752	39.54052	26.55368	-1.18512	0.04856	1.3844	1.4223	-3.02442	0.06455	-0.08563	-24.6981	-0.67916	419.77482	408.58959	-18257.28102	-9586.11112	Inf  	#NOME?	0.00628	0.00003	0.00421	0.00493	0.01035	0	0
92.76856	24.60896	39.67524	39.53914	26.55731	-1.18512	0.0499	1.38701	1.4175	-3.02442	0.06472	-0.08572	-24.64409	-0.67474	418.358	409.36165	-18259.7159	-9585.78295	Inf  	#NOME?	0.00627	0.00003	0.00421	0.00496	0.01037	0	0
