Tempo	T_cold_in(C)	T_hot_in(C)	T_hot_out(C)	T_cold_out(C)	mdot_cold(kg/s)	mdot_air(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold	
2.75064	22.28643	49.35996	49.06895	27.00887	-1.18512	0.04716	1.30172	1.33028	-3.02442	0.06302	-0.08568	-59.72152	-1.44267	392.61682	384.18734	-17866.60669	-11339.06269	0.00613	0.00003	0.0042	0.00491	0.00997	0	0		
3.75196	22.28982	49.35974	49.06916	27.00572	-1.18512	0.04727	1.30309	1.33194	-3.02442	0.06259	-0.08562	-59.63884	-1.44054	393.10866	384.59196	-17866.65488	-11339.06031	0.00613	0.00003	0.0042	0.00491	0.00998	0	0		
4.75528	22.29258	49.35853	49.06823	27.00405	-1.18512	0.0493	1.30307	1.33372	-3.02442	0.06147	-0.08571	-59.58275	-1.43914	393.63288	384.58807	-17866.88342	-11338.86187	0.00613	0.00003	0.0042	0.00495	0.00998	0	0		
5.75859	22.29594	49.35892	49.06844	27.00091	-1.18512	0.04811	1.30505	1.3353	-3.02442	0.06082	-0.08569	-59.50049	-1.44008	394.10021	385.17233	-17866.92999	-11338.91768	0.00614	0.00003	0.00419	0.00492	0.00999	0	0		
6.75991	22.29929	49.35867	49.0674	26.99938	-1.18512	0.04625	1.3057	1.33736	-3.02442	0.06129	-0.08563	-59.43898	-1.44394	394.70769	385.36206	-17867.31095	-11338.79771	0.00614	0.00003	0.0042	0.00489	0.00999	0	0		
7.76323	22.30284	49.35881	49.06749	26.99594	-1.18512	0.04691	1.30616	1.33637	-3.02442	0.06066	-0.08568	-59.3505	-1.44422	394.41418	385.49724	-17867.33367	-11338.8192	0.00614	0.00003	0.00419	0.0049	0.00999	0	0		
8.76655	22.30627	49.35886	49.06749	26.99493	-1.18512	0.04717	1.3078	1.33663	-3.02442	0.06253	-0.08562	-59.29421	-1.44446	394.49215	385.98314	-17867.83984	-11338.82414	0.00614	0.00003	0.0042	0.00491	0.01	0	0		
9.76787	22.30897	49.35834	49.06786	26.99333	-1.18512	0.04775	1.30782	1.33829	-3.02442	0.05949	-0.08565	-59.23994	-1.44003	394.98038	385.98959	-17868.07022	-11338.81021	0.00614	0.00003	0.00419	0.00492	0.01	0	0		
10.77119	22.31358	49.35889	49.06803	26.99114	-1.18512	0.04999	1.30853	1.34198	-3.02442	0.06196	-0.08568	-59.15393	-1.44197	396.07151	386.19798	-17868.57627	-11338.87656	0.00615	0.00003	0.0042	0.00496	0.01	0	0		
11.7745	22.31743	49.35922	49.06775	26.99005	-1.18512	0.04726	1.30973	1.33983	-3.02442	0.06315	-0.08572	-59.09144	-1.44494	395.43501	386.55306	-17869.15316	-11338.88085	0.00614	0.00003	0.0042	0.00491	0.01001	0	0		
12.77585	22.3208	49.35972	49.06893	26.98807	-1.18512	0.04817	1.31018	1.33781	-3.02442	0.06032	-0.08567	-59.02387	-1.44158	394.83916	386.68581	-17869.44429	-11339.038	0.00614	0.00003	0.00419	0.00492	0.01001	0	0		
13.77914	22.32506	49.36012	49.06819	26.98774	-1.18512	0.04929	1.31104	1.33763	-3.02442	0.06203	-0.08567	-58.96572	-1.44726	394.7852	386.93909	-17870.266	-11339.00599	0.00614	0.00003	0.0042	0.00495	0.01002	0	0		
14.78248	22.32959	49.36028	49.0683	26.98686	-1.18512	0.04886	1.31151	1.34359	-3.02442	0.0612	-0.08571	-58.89741	-1.44751	396.54645	387.07861	-17871.03025	-11339.0316	0.00615	0.00003	0.0042	0.00494	0.01002	0	0		
15.78278	22.33363	49.36182	49.06943	26.98504	-1.18512	0.04704	1.31253	1.34503	-3.02442	0.06328	-0.08565	-58.82317	-1.44951	396.96977	387.37807	-17871.49449	-11339.27949	0.00615	0.00003	0.0042	0.0049	0.01002	0	0		
16.7851	22.33729	49.36147	49.06949	26.98421	-1.18512	0.04682	1.31023	1.34016	-3.02442	0.06166	-0.08572	-58.76646	-1.44748	395.53373	386.69991	-17872.0884	-11339.25348	0.00614	0.00003	0.0042	0.0049	0.01001	0	0		
17.78841	22.341	49.36344	49.07012	26.98266	-1.18512	0.04754	1.3092	1.34114	-3.02442	0.06037	-0.08571	-58.69993	-1.45418	395.8233	386.39709	-17872.53811	-11339.49496	0.00615	0.00003	0.00419	0.00491	0.01001	0	0		
18.78877	22.34524	49.36433	49.0703	26.98175	-1.18512	0.04687	1.30634	1.33675	-3.02442	0.06068	-0.08569	-58.63479	-1.45764	394.52679	385.55217	-17873.23572	-11339.59454	0.00614	0.00003	0.00419	0.0049	0.00999	0	0		
19.79205	22.34903	49.36548	49.07128	26.9816	-1.18512	0.0477	1.30744	1.33786	-3.02442	0.06335	-0.08568	-58.585	-1.45852	394.85366	385.87778	-17873.99651	-11339.79264	0.00614	0.00003	0.0042	0.00492	0.01	0	0		
20.79537	22.35235	49.36713	49.07163	26.98218	-1.18512	0.04885	1.30901	1.33762	-3.02442	0.0614	-0.08564	-58.55032	-1.46494	394.78505	386.33884	-17874.8126	-11339.97911	0.00614	0.00003	0.0042	0.00494	0.01001	0	0		
21.79669	22.35576	49.36802	49.07329	26.98251	-1.18512	0.0487	1.30981	1.34087	-3.02442	0.06165	-0.08562	-58.51147	-1.46114	395.74244	386.57695	-17875.59483	-11340.21687	0.00615	0.00003	0.0042	0.00494	0.01001	0	0		
22.79901	22.36114	49.36933	49.07476	26.98479	-1.18512	0.04816	1.31074	1.34154	-3.02442	0.06116	-0.08567	-58.47219	-1.46035	395.94185	386.84897	-17877.19676	-11340.4758	0.00615	0.00003	0.0042	0.00492	0.01001	0	0		
23.80233	22.36673	49.36958	49.07726	26.98596	-1.18512	0.04773	1.31169	1.34337	-3.02442	0.06214	-0.08566	-58.41629	-1.44917	396.48138	387.1301	-17878.61189	-11340.73124	0.00615	0.00003	0.0042	0.00492	0.01002	0	0		
24.80465	22.3707	49.37188	49.07835	26.98769	-1.18512	0.04708	1.3125	1.34242	-3.02442	0.0629	-0.08569	-58.38787	-1.45519	396.20049	387.36936	-17879.80501	-11341.04679	0.00615	0.00003	0.0042	0.0049	0.01002	0	0		
25.80597	22.37532	49.37228	49.07824	26.98818	-1.18512	0.04781	1.31354	1.34592	-3.02442	0.06315	-0.08571	-58.3358	-1.4577	397.23324	387.67701	-17880.8752	-11341.07418	0.00615	0.00003	0.0042	0.00492	0.01003	0	0		
26.80928	22.38042	49.37399	49.07969	26.98907	-1.18512	0.04676	1.31416	1.34517	-3.02442	0.06183	-0.08562	-58.28251	-1.459	397.01149	387.8604	-17882.12666	-11341.36818	0.00615	0.00003	0.0042	0.0049	0.01003	0	0		
27.8126	22.38528	49.37563	49.08146	26.99113	-1.18512	0.0473	1.31484	1.34502	-3.02442	0.06113	-0.08569	-58.2472	-1.45835	396.96666	388.06139	-17883.57576	-11341.68483	0.00615	0.00003	0.0042	0.00491	0.01003	0	0		
28.81392	22.39088	49.37693	49.08407	26.99251	-1.18512	0.04882	1.31589	1.34757	-3.02442	0.06179	-0.08568	-58.19361	-1.45185	397.72036	388.3699	-17885.03672	-11342.04935	0.00616	0.00003	0.0042	0.00494	0.01004	0	0		
29.81724	22.39576	49.3785	49.08501	26.99396	-1.18512	0.04783	1.31536	1.34865	-3.02442	0.06305	-0.0857	-58.15029	-1.45495	398.04046	388.2127	-17886.36143	-11342.28336	0.00616	0.00003	0.0042	0.00492	0.01004	0	0		
30.82055	22.4003	49.3813	49.08646	26.99463	-1.18512	0.0485	1.31764	1.34671	-3.02442	0.0621	-0.08565	-58.10144	-1.46168	397.46703	388.88631	-17887.45169	-11342.67948	0.00615	0.00003	0.0042	0.00493	0.01005	0	0		
31.82187	22.40596	49.38315	49.08838	26.99691	-1.18512	0.04958	1.31787	1.34784	-3.02442	0.06211	-0.08572	-58.05869	-1.4613	397.79928	388.95544	-17889.11235	-11343.03035	0.00616	0.00003	0.0042	0.00495	0.01005	0	0		
32.82522	22.41119	49.38566	49.09114	26.99842	-1.18512	0.0496	1.31796	1.34686	-3.02442	0.06246	-0.08571	-58.01162	-1.46006	397.51027	388.98003	-17890.5237	-11343.52106	0.00615	0.00003	0.0042	0.00495	0.01005	0	0		
33.82853	22.41632	49.38694	49.09342	26.99969	-1.18512	0.04851	1.31926	1.35304	-3.02442	0.06189	-0.08566	-57.96286	-1.45513	399.33598	389.36559	-17891.86438	-11343.85269	0.00616	0.00003	0.0042	0.00493	0.01005	0	0		
34.82983	22.42197	49.3882	49.09495	27.00117	-1.18512	0.04731	1.31824	1.35246	-3.02442	0.06312	-0.08566	-57.91011	-1.45379	399.16347	389.06252	-17893.35635	-11344.1124	0.00616	0.00003	0.0042	0.00491	0.01005	0	0		
35.83317	22.42886	49.38973	49.09692	27.00276	-1.18512	0.04782	1.31969	1.35064	-3.02442	0.05964	-0.08568	-57.84303	-1.45163	398.62605	389.49304	-17895.13182	-11344.43785	0.00616	0.00003	0.00419	0.00492	0.01006	0	0		
36.83646	22.434	49.3923	49.09858	27.00392	-1.18512	0.04692	1.32101	1.352	-3.02442	0.06166	-0.08572	-57.79268	-1.45609	399.02643	389.88116	-17896.4493	-11344.83197	0.00616	0.00003	0.0042	0.0049	0.01006	0	0		
37.83778	22.43885	49.39461	49.09989	27.0059	-1.18512	0.04904	1.31998	1.3528	-3.02442	0.06102	-0.08564	-57.75646	-1.4611	399.26347	389.5771	-17897.87971	-11345.16853	0.00616	0.00003	0.0042	0.00494	0.01006	0	0		
38.8411	22.445	49.39742	49.10177	27.0071	-1.18512	0.05102	1.32183	1.35175	-3.02442	0.06135	-0.08568	-57.69382	-1.46571	398.9535	390.12374	-17899.41972	-11345.60563	0.00616	0.00003	0.0042	0.00498	0.01007	0	0		
39.84441	22.45181	49.39875	49.10333	27.00876	-1.18512	0.04997	1.32155	1.3515	-3.02442	0.06282	-0.08572	-57.62874	-1.46455	398.88089	390.04225	-17901.1914	-11345.87496	0.00616	0.00003	0.0042	0.00496	0.01006	0	0		
40.84573	22.45709	49.4012	49.10577	27.01081	-1.18512	0.04794	1.32149	1.35141	-3.02442	0.06222	-0.08574	-57.5877	-1.46461	398.85436	390.0227	-17902.7259	-11346.3302	0.00616	0.00003	0.0042	0.00492	0.01006	0	0		
41.84905	22.46241	49.40221	49.10821	27.01308	-1.18512	0.04891	1.32029	1.35094	-3.02442	0.06282	-0.08571	-57.54927	-1.45749	398.71507	389.66846	-17904.31591	-11346.65091	0.00616	0.00003	0.0042	0.00494	0.01006	0	0		
42.85239	22.46731	49.40516	49.11045	27.01551	-1.18512	0.04799	1.31936	1.35031	-3.02442	0.0611	-0.08567	-57.51796	-1.46103	398.52769	389.39481	-17905.84868	-11347.13454	0.00616	0.00003	0.0042	0.00492	0.01005	0	0		
