10/10/2024 14:16:50Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
1.74484  	0.00000  	0.00000  	0.00000  	0.00000  	-1.18512  	-0.20833  	-0.86278  	-2.50000  	-3.02442  	-1.25000  	-0.08628  	-0.00000  	-0.00000  	-737.84722  	-254.63905  	-9234.48090  	-3618.55272  	NaN  	NaN  	0.00000  	0.00000  	0.00000  	0.00000  	0.00000  	0.00000  	0.00000  
2.74589  	22.01920  	59.32335  	58.97521  	35.04269  	-1.18512  	0.02332  	0.50609  	0.49369  	-3.02442  	0.06155  	-0.08496  	-164.74114  	-1.72586  	145.70640  	149.36634  	-19519.47489  	-13247.76327  	Inf  	-Inf  	0.00479  	0.00006  	0.00420  	0.00445  	0.00631  	0.00000  	0.00000  
3.74549  	22.01699  	59.32218  	58.97484  	35.03911  	-1.18512  	0.02188  	0.50574  	0.49954  	-3.02442  	0.06308  	-0.08503  	-164.72376  	-1.72191  	147.43451  	149.26370  	-19518.22408  	-13247.61003  	Inf  	-Inf  	0.00480  	0.00006  	0.00420  	0.00442  	0.00631  	0.00000  	0.00000  
4.74876  	22.01490  	59.32131  	58.97354  	35.03387  	-1.18512  	0.02322  	0.50418  	0.49583  	-3.02442  	0.05931  	-0.08498  	-164.68394  	-1.72404  	146.33735  	148.80318  	-19516.64037  	-13247.39254  	Inf  	-Inf  	0.00479  	0.00006  	0.00419  	0.00445  	0.00630  	0.00000  	0.00000  
5.75000  	22.01226  	59.31957  	58.97276  	35.03105  	-1.18512  	0.02217  	0.50444  	0.49854  	-3.02442  	0.05609  	-0.08496  	-164.68178  	-1.71929  	147.13948  	148.87901  	-19515.45862  	-13247.14230  	Inf  	-Inf  	0.00480  	0.00006  	0.00418  	0.00443  	0.00630  	0.00000  	0.00000  
6.75133  	22.00954  	59.31895  	58.97175  	35.02703  	-1.18512  	0.02255  	0.50655  	0.49562  	-3.02442  	0.05927  	-0.08497  	-164.66523  	-1.72124  	146.27806  	149.50379  	-19513.99995  	-13246.97882  	Inf  	-Inf  	0.00479  	0.00006  	0.00419  	0.00443  	0.00631  	0.00000  	0.00000  
7.75050  	22.00739  	59.31848  	58.96842  	35.02432  	-1.18512  	0.02187  	0.50338  	0.49784  	-3.02442  	0.05689  	-0.08508  	-164.65805  	-1.73541  	146.93106  	148.56671  	-19512.95056  	-13246.60066  	Inf  	-Inf  	0.00480  	0.00006  	0.00418  	0.00442  	0.00629  	0.00000  	0.00000  
8.75138  	22.00457  	59.31710  	58.96888  	35.02076  	-1.18512  	0.02243  	0.50340  	0.49455  	-3.02442  	0.05754  	-0.08508  	-164.64881  	-1.72627  	145.96051  	148.57357  	-19511.57181  	-13246.50796  	Inf  	-Inf  	0.00479  	0.00006  	0.00418  	0.00443  	0.00629  	0.00000  	0.00000  
9.75047  	22.00117  	59.31611  	58.97017  	35.01845  	-1.18512  	0.02252  	0.50381  	0.49704  	-3.02442  	0.05778  	-0.08501  	-164.66254  	-1.71498  	146.69518  	148.69262  	-19510.33781  	-13246.53875  	Inf  	-Inf  	0.00480  	0.00006  	0.00418  	0.00443  	0.00630  	0.00000  	0.00000  
10.75061  	21.99843  	59.31564  	58.96937  	35.01551  	-1.18512  	0.02312  	0.50405  	0.48998  	-3.02442  	0.05805  	-0.08496  	-164.66003  	-1.71663  	144.61325  	148.76473  	-19509.10921  	-13246.41083  	Inf  	-Inf  	0.00478  	0.00006  	0.00419  	0.00444  	0.00630  	0.00000  	0.00000  
11.75244  	21.99652  	59.31607  	58.96722  	35.01276  	-1.18512  	0.02295  	0.50545  	0.49676  	-3.02442  	0.05947  	-0.08508  	-164.64927  	-1.72942  	146.61294  	149.17813  	-19508.10263  	-13246.24031  	Inf  	-Inf  	0.00479  	0.00006  	0.00419  	0.00444  	0.00630  	0.00000  	0.00000  
12.75258  	21.99411  	59.31676  	58.96648  	35.01052  	-1.18512  	0.02229  	0.50382  	0.50026  	-3.02442  	0.06044  	-0.08498  	-164.65149  	-1.73648  	147.64594  	148.69632  	-19507.09717  	-13246.23436  	Inf  	-Inf  	0.00480  	0.00006  	0.00419  	0.00443  	0.00630  	0.00000  	0.00000  
13.75632  	21.99150  	59.31633  	58.96724  	35.00843  	-1.18512  	0.02273  	0.50533  	0.49939  	-3.02442  	0.06076  	-0.08511  	-164.65814  	-1.73061  	147.38929  	149.14346  	-19506.08208  	-13246.26743  	Inf  	-Inf  	0.00480  	0.00005  	0.00419  	0.00444  	0.00630  	0.00000  	0.00000  
14.75740  	21.98855  	59.31528  	58.96781  	35.00652  	-1.18512  	0.02276  	0.50474  	0.49841  	-3.02442  	0.05814  	-0.08506  	-164.67123  	-1.72253  	147.10045  	148.96845  	-19505.03029  	-13246.21956  	Inf  	-Inf  	0.00480  	0.00006  	0.00419  	0.00444  	0.00630  	0.00000  	0.00000  
15.75834  	21.98575  	59.31644  	58.96699  	35.00390  	-1.18512  	0.02154  	0.50528  	0.49291  	-3.02442  	0.06088  	-0.08506  	-164.67359  	-1.73240  	145.47710  	149.12676  	-19503.86010  	-13246.25357  	Inf  	-Inf  	0.00479  	0.00006  	0.00419  	0.00441  	0.00630  	0.00000  	0.00000  
16.75830  	21.98173  	59.31621  	58.96731  	35.00049  	-1.18512  	0.02383  	0.50636  	0.49887  	-3.02442  	0.05663  	-0.08505  	-164.68114  	-1.72964  	147.23589  	149.44600  	-19502.25439  	-13246.26247  	Inf  	-Inf  	0.00480  	0.00006  	0.00418  	0.00446  	0.00631  	0.00000  	0.00000  
17.75875  	21.97926  	59.31540  	58.96645  	34.99775  	-1.18512  	0.02349  	0.50474  	0.50280  	-3.02442  	0.05876  	-0.08502  	-164.67779  	-1.72990  	148.39471  	148.96969  	-19501.12850  	-13246.09560  	Inf  	-Inf  	0.00480  	0.00006  	0.00419  	0.00445  	0.00630  	0.00000  	0.00000  
18.75868  	21.97744  	59.31565  	58.96689  	34.99447  	-1.18512  	0.02278  	0.50470  	0.49227  	-3.02442  	0.06111  	-0.08510  	-164.65941  	-1.72898  	145.28906  	148.95790  	-19500.02769  	-13246.16525  	Inf  	-Inf  	0.00479  	0.00005  	0.00420  	0.00444  	0.00630  	0.00000  	0.00000  
19.76116  	21.97457  	59.31561  	58.96638  	34.99058  	-1.18512  	0.02375  	0.50743  	0.49015  	-3.02442  	0.06046  	-0.08501  	-164.64646  	-1.73127  	144.66150  	149.76123  	-19498.56696  	-13246.10949  	Inf  	-Inf  	0.00478  	0.00006  	0.00419  	0.00446  	0.00631  	0.00000  	0.00000  
20.76333  	21.97041  	59.31524  	58.96545  	34.98783  	-1.18512  	0.02410  	0.50570  	0.49541  	-3.02442  	0.05755  	-0.08507  	-164.66430  	-1.73407  	146.21482  	149.25294  	-19497.07275  	-13245.98066  	Inf  	-Inf  	0.00479  	0.00006  	0.00418  	0.00446  	0.00631  	0.00000  	0.00000  
