11/14/2024 15:56:52Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,03610  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,03778  	1327,82048  	1327,75450  	1327,82053  	25,61582  	0,04704  	-0,00404  	85706,53851  	0,00282  	0,00326  	-0,03440  	-0,03634  	37483261,25876  	365,01639  	0,83096  	25295332,54600  	0,00470  	0,00369  	-Inf  	-Inf  	0,00405  	0,00401  	0,00395  	0,00392  	1327,62170  	0,00399  	0,00400  
4,03785  	1327,82048  	1327,75450  	1327,82053  	25,61605  	0,05137  	-0,00401  	85706,53851  	0,00211  	0,00372  	-0,03410  	-0,03604  	42824113,57715  	398,61859  	0,62129  	25295332,54600  	0,00537  	0,00403  	-Inf  	-Inf  	0,00405  	0,00401  	0,00395  	0,00392  	1327,62170  	0,00400  	0,00400  
5,04004  	1327,82048  	309,09912  	309,12239  	25,61583  	0,04859  	-0,00408  	19951,12191  	0,00282  	0,00388  	-0,03472  	-0,03666  	2571,83382  	132,83392  	0,83231  	5888351,95353  	0,00560  	2,85093  	NaN  	NaN  	0,00405  	0,00401  	0,00395  	0,00392  	309,05234  	0,00400  	0,00401  
6,04153  	306,32768  	-244,98909  	-244,98909  	25,61577  	0,04519  	-0,00432  	-15815,93170  	0,00161  	0,00353  	-0,03668  	-0,03862  	1571,92958  	0,00000  	0,47520  	-4667896,50935  	7,07665  	0,87432  	Inf  	-Inf  	0,00405  	0,00401  	0,00395  	0,00392  	-244,98909  	0,00398  	0,00400  
7,04074  	779,72018  	779,67719  	-244,98909  	25,61572  	0,05005  	-0,00365  	50327,49586  	0,00131  	0,00381  	-0,03113  	-0,03307  	490,01450  	177139,44786  	0,38595  	14853601,20853  	0,06029  	6,26983  	NaN  	NaN  	0,00405  	0,00401  	0,00395  	0,00393  	779,59067  	0,00400  	0,00401  
8,04396  	298,68263  	1327,75450  	784,14879  	25,61618  	0,04299  	-0,00359  	19277,25264  	0,00126  	0,00329  	-0,03064  	-0,03259  	1868631,07734  	149,52827  	0,37078  	5689466,92487  	7,62898  	0,00892  	-Inf  	-Inf  	0,00405  	0,00401  	0,00395  	0,00393  	298,61392  	0,00398  	0,00400  
9,04661  	-244,98909  	1327,75450  	296,97987  	25,61904  	0,04407  	-0,00331  	50723,26621  	0,00124  	0,00381  	-0,02832  	-0,03027  	399094,77454  	2087,90255  	0,36727  	14970408,43084  	0,64187  	0,02841  	-Inf  	-Inf  	0,00405  	0,00401  	0,00395  	0,00394  	785,72126  	0,00398  	0,00401  
10,04698  	-244,98909  	1327,75450  	-244,98909  	25,62320  	0,04964  	-0,00366  	85706,53851  	0,00095  	0,00319  	-0,03123  	-0,03317  	22970,11067  	3587,52679  	0,28139  	25295332,54600  	0,53790  	0,19603  	-Inf  	-Inf  	0,00405  	0,00400  	0,00395  	0,00393  	1327,62170  	0,00400  	0,00400  
11,04856  	-244,98909  	1327,75450  	796,00268  	25,62538  	0,04386  	-0,00352  	18512,10212  	0,00117  	0,00339  	-0,03006  	-0,03201  	1979281,95645  	1071,78539  	0,34617  	5463641,24962  	0,57176  	0,00888  	-Inf  	-Inf  	0,00405  	0,00401  	0,00395  	0,00393  	286,76153  	0,00398  	0,00400  
12,04906  	-244,98909  	284,91612  	1327,82053  	25,62805  	0,05022  	-0,00353  	51500,52636  	0,00127  	0,00390  	-0,03021  	-0,03215  	389177,06040  	2406,84251  	0,37367  	15199808,12807  	0,65673  	0,03344  	-Inf  	-Inf  	0,00405  	0,00401  	0,00395  	0,00393  	797,76123  	0,00400  	0,00401  
13,04871  	-244,98909  	800,99527  	281,79226  	25,62838  	0,04713  	-0,00383  	18187,00343  	0,00064  	0,00378  	-0,03265  	-0,03459  	27167,02673  	1124,44187  	0,19010  	5367691,98464  	0,63612  	0,18612  	-Inf  	-Inf  	0,00405  	0,00400  	0,00395  	0,00393  	281,72566  	0,00399  	0,00400  
14,05114  	804,28475  	1327,75450  	-244,98909  	25,62828  	0,04844  	-0,00355  	-15815,93170  	0,00102  	0,00390  	-0,03036  	-0,03230  	80700,91963  	325151,56097  	0,30153  	-4667896,50935  	0,05340  	0,19130  	NaN  	NaN  	0,00406  	0,00400  	0,00395  	0,00393  	-244,98909  	0,00400  	0,00401  
