11/14/2024 16:24:30Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
1,99669  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
2,99741  	-244,98909  	1327,75450  	1327,82053  	26,74225  	0,04860  	0,29576  	85706,53851  	0,41972  	0,21950  	2,44432  	2,44059  	527117826,25423  	0,14472  	123,87674  	25295332,54600  	37,41298  	0,00381  	-Inf  	-Inf  	0,00405  	0,00595  	0,00396  	0,00968  	1327,62170  	0,00400  	0,00429  
3,99895  	-244,98909  	199,72495  	199,74362  	26,74439  	0,04476  	0,25803  	85706,53851  	0,36960  	0,21670  	2,13237  	2,12887  	1131,78100  	0,03769  	109,08271  	25295332,54600  	36,93616  	28,85565  	-Inf  	-Inf  	0,00405  	0,00572  	0,00395  	0,00895  	1327,62170  	0,00398  	0,00429  
5,00072  	-244,98909  	772,83479  	-244,98909  	26,74473  	0,04968  	0,20616  	20004,79611  	0,29946  	0,19930  	1,70348  	1,70028  	8371,55609  	2280,10571  	88,38132  	5904193,29513  	33,96946  	6,66738  	-Inf  	-Inf  	0,00405  	0,00539  	0,00395  	0,00796  	309,88377  	0,00400  	0,00426  
6,00176  	-244,98909  	1327,75450  	775,98509  	26,74384  	0,04913  	0,15527  	50086,39952  	0,23265  	0,17475  	1,28274  	1,27985  	96359322,82243  	1222,30391  	68,66271  	14782444,30287  	29,78517  	0,01036  	-Inf  	-Inf  	0,00405  	0,00508  	0,00395  	0,00698  	775,85602  	0,00400  	0,00423  
7,00285  	-244,98909  	1327,75450  	303,53415  	26,74032  	0,04729  	0,10898  	19590,40935  	0,16866  	0,14892  	0,90001  	0,89740  	16077311,28315  	2183,98609  	49,77702  	5781891,64974  	25,38257  	0,02995  	-Inf  	-Inf  	0,00405  	0,00478  	0,00396  	0,00609  	303,46480  	0,00399  	0,00420  
8,00441  	783,73719  	299,07138  	-244,98909  	26,73202  	0,04507  	0,07013  	50586,78777  	0,11544  	0,12290  	0,57885  	0,57647  	389,19161  	88577,19873  	34,07201  	14930128,33369  	1,88629  	281,33919  	NaN  	NaN  	0,00405  	0,00454  	0,00395  	0,00535  	783,60717  	0,00398  	0,00416  
11/18/2024 10:59:47Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,08576  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,08662  	1327,82048  	1327,75450  	-244,98909  	25,81128  	0,04877  	-0,00408  	85706,53851  	-0,00487  	0,00388  	-0,03472  	-0,03666  	134227,95450  	9021013,21500  	-1,43710  	25295332,54600  	0,00559  	0,19260  	NaN  	NaN  	0,00395  	0,00398  	0,00395  	0,00392  	1327,62170  	0,00400  	0,00401  
4,08723  	198,85631  	1327,75450  	883,97512  	25,81106  	0,04879  	-0,00400  	85706,53851  	-0,00427  	0,00346  	-0,03404  	-0,03598  	1671668,48569  	92,10649  	-1,26074  	25295332,54600  	53,07126  	0,00831  	-Inf  	-Inf  	0,00395  	0,00398  	0,00395  	0,00392  	1327,62170  	0,00400  	0,00400  
5,08902  	775,48344  	307,32478  	1327,82053  	25,81138  	0,04767  	-0,00406  	19836,58580  	-0,00454  	0,00372  	-0,03454  	-0,03648  	1126513,19396  	162169,25022  	-1,34001  	5854547,89323  	0,06039  	0,02988  	-Inf  	-Inf  	0,00395  	0,00398  	0,00395  	0,00392  	307,27814  	0,00399  	0,00400  
6,08992  	304,09642  	-244,98909  	304,09643  	25,81201  	0,04865  	-0,00402  	50263,90261  	-0,00401  	0,00364  	-0,03422  	-0,03616  	4,23400  	181,51603  	-1,18231  	14834832,36850  	7,57096  	321,11909  	NaN  	NaN  	0,00395  	0,00398  	0,00395  	0,00392  	778,60559  	0,00400  	0,00400  
7,09076  	782,19032  	-244,98909  	782,19035  	25,81120  	0,04414  	-0,00409  	85706,53851  	-0,00432  	0,00359  	-0,03477  	-0,03671  	479,37293  	160287,10283  	-1,27591  	25295332,54600  	0,05584  	5,39238  	NaN  	NaN  	0,00395  	0,00398  	0,00395  	0,00392  	1327,62170  	0,00398  	0,00400  
8,09174  	1327,82048  	784,62616  	1327,82053  	25,81199  	0,24445  	-0,00413  	85706,53851  	-0,00458  	0,00367  	-0,03509  	-0,03703  	9951660,36655  	15618384,62913  	-1,35207  	25295332,54600  	0,00529  	0,05065  	-Inf  	-Inf  	0,00395  	0,00398  	0,00395  	0,00392  	1327,62170  	0,00463  	0,00400  
9,09269  	1327,82048  	1327,75450  	1327,82053  	25,81177  	0,29869  	-0,00419  	85706,53851  	-0,00374  	0,00368  	-0,03565  	-0,03759  	42342966,49988  	2319,99476  	-1,10431  	25295332,54600  	0,00531  	0,02341  	-Inf  	-Inf  	0,00395  	0,00398  	0,00395  	0,00392  	1327,62170  	0,00481  	0,00400  
10,09442  	293,21798  	293,19540  	1327,82053  	25,81170  	0,30388  	-0,00413  	85706,53851  	-0,00428  	0,00352  	-0,03513  	-0,03707  	358541,39372  	1909,70463  	-1,26355  	25295332,54600  	9,03813  	0,19785  	-Inf  	-Inf  	0,00395  	0,00398  	0,00395  	0,00392  	1327,62170  	0,00482  	0,00400  
11,09462  	793,09659  	793,05304  	289,73482  	25,81150  	0,30789  	-0,00386  	85706,53851  	-0,00410  	0,00359  	-0,03288  	-0,03483  	73325,43158  	602154,98877  	-1,20914  	25295332,54600  	0,05248  	1,21585  	NaN  	NaN  	0,00395  	0,00398  	0,00395  	0,00393  	1327,62170  	0,00484  	0,00400  
12,09536  	1327,82048  	1327,75450  	797,15073  	25,81107  	0,30750  	-0,00411  	18437,99761  	-0,00429  	0,00352  	-0,03497  	-0,03692  	9910738,51345  	19191097,24478  	-1,26704  	5441770,12810  	0,00508  	0,06213  	NaN  	NaN  	0,00395  	0,00398  	0,00395  	0,00392  	285,61363  	0,00483  	0,00400  
13,09664  	1327,82048  	1327,75450  	1327,82053  	25,81170  	0,08672  	-0,00416  	51500,30729  	-0,00447  	0,00356  	-0,03539  	-0,03733  	40914544,87044  	673,53026  	-1,31911  	15199743,47216  	0,00513  	0,00680  	-Inf  	-Inf  	0,00395  	0,00398  	0,00395  	0,00392  	797,75784  	0,00412  	0,00400  
14,09848  	1327,82048  	282,81939  	1327,82053  	25,81197  	0,04746  	-0,00412  	85706,53851  	-0,00448  	0,00328  	-0,03506  	-0,03700  	1560005,07875  	5833355,47340  	-1,32094  	25295332,54600  	0,00472  	0,03178  	-Inf  	-Inf  	0,00395  	0,00398  	0,00395  	0,00392  	1327,62170  	0,00399  	0,00400  
15,10151  	1327,82048  	802,77313  	1327,82053  	25,81149  	0,05193  	-0,00414  	85706,53851  	-0,00394  	0,00376  	-0,03521  	-0,03715  	10765500,47560  	3206808,15357  	-1,16432  	25295332,54600  	0,00542  	0,01037  	-Inf  	-Inf  	0,00395  	0,00398  	0,00394  	0,00392  	1327,62170  	0,00401  	0,00400  
16,10184  	276,35480  	1327,75450  	1327,82053  	25,81097  	0,04702  	-0,00424  	85706,53851  	-0,00413  	0,00351  	-0,03607  	-0,03801  	7772093,60385  	0,01644  	-1,21970  	25295332,54600  	12,69670  	0,00368  	-Inf  	-Inf  	0,00395  	0,00398  	0,00395  	0,00392  	1327,62170  	0,00399  	0,00400  
17,10210  	-244,98909  	270,57189  	1327,82053  	25,81070  	0,04739  	-0,00401  	85706,53851  	-0,00429  	0,00362  	-0,03416  	-0,03610  	340898,69586  	2295,27933  	-1,26483  	25295332,54600  	0,61029  	0,03281  	-Inf  	-Inf  	0,00395  	0,00398  	0,00395  	0,00392  	1327,62170  	0,00399  	0,00400  
18,10331  	815,39912  	815,35464  	1327,82053  	25,81182  	0,04648  	-0,00395  	85706,53851  	-0,00418  	0,00345  	-0,03367  	-0,03561  	6213815,14905  	111773,19097  	-1,23489  	25295332,54600  	0,04426  	0,00905  	-Inf  	-Inf  	0,00395  	0,00398  	0,00396  	0,00392  	1327,62170  	0,00399  	0,00400  
19,10479  	1327,82048  	1327,75450  	265,45941  	25,81153  	0,05172  	-0,00351  	85706,53851  	-0,00389  	0,00350  	-0,03002  	-0,03196  	1554112,55006  	6461949,57479  	-1,14953  	25295332,54600  	0,00505  	0,03632  	NaN  	NaN  	0,00395  	0,00398  	0,00395  	0,00393  	1327,62170  	0,00401  	0,00400  
20,10661  	1327,82048  	262,08405  	820,72610  	25,81315  	0,05000  	-0,00375  	85706,53851  	-0,00076  	0,00341  	-0,03196  	-0,03390  	118232,52209  	3285385,37627  	-0,22307  	25295332,54600  	0,00492  	0,19743  	NaN  	NaN  	0,00395  	0,00400  	0,00395  	0,00393  	1327,62170  	0,00400  	0,00400  
21,10618  	1327,82048  	-244,98909  	1327,82053  	25,81476  	0,05007  	-0,00351  	85706,53851  	-0,00255  	0,00377  	-0,02997  	-0,03192  	130489,17675  	9262160,73658  	-0,75132  	25295332,54600  	0,00543  	0,19768  	NaN  	NaN  	0,00395  	0,00399  	0,00395  	0,00393  	1327,62170  	0,00400  	0,00400  
22,10693  	255,26440  	827,52199  	255,26442  	25,81700  	0,05123  	-0,00337  	85706,53851  	-0,00269  	0,00374  	-0,02883  	-0,03078  	22843,84777  	138,46442  	-0,79436  	25295332,54600  	21,10916  	0,20229  	-Inf  	-Inf  	0,00395  	0,00399  	0,00395  	0,00394  	1327,62170  	0,00400  	0,00400  
23,10626  	828,71055  	1327,75450  	828,71058  	25,81833  	0,04824  	-0,00161  	16400,85698  	-0,00086  	0,00383  	-0,01431  	-0,01627  	7295306,13546  	126108,57428  	-0,25239  	4840530,70738  	0,04559  	0,00915  	-Inf  	-Inf  	0,00395  	0,00400  	0,00395  	0,00397  	254,05777  	0,00399  	0,00401  
24,10728  	1327,82048  	1327,75450  	1327,82053  	25,82177  	0,04824  	0,00146  	-15815,93170  	-0,00309  	0,05597  	0,01112  	0,00915  	643998520,74040  	374,72636  	-0,91282  	-4667896,50935  	0,08070  	0,00378  	-Inf  	-Inf  	0,00395  	0,00399  	0,00395  	0,00403  	-244,98909  	0,00399  	0,00407  
25,10925  	1327,82048  	1327,75450  	1327,82053  	25,84356  	0,05173  	0,00196  	53725,84431  	-0,00506  	0,11945  	0,01519  	0,01321  	1374403034,51117  	401,88335  	-1,49387  	15856585,99568  	0,17221  	0,00405  	-Inf  	-Inf  	0,00395  	0,00398  	0,00395  	0,00404  	832,23201  	0,00401  	0,00416  
