11/18/2024 15:58:15Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
2,04202  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	-0,20833  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-9234,48090  	-3618,55272  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
3,04231  	1327,82048  	1327,75450  	1327,82053  	26,52749  	0,04659  	0,01237  	-15815,93170  	0,17924  	0,17963  	1,54889  	1,54580  	2065699483,90284  	363,14137  	52,89955  	-4667896,50935  	0,25839  	0,00365  	-Inf  	-Inf  	0,00389  	0,00483  	0,00395  	0,00760  	-244,98909  	0,00399  	0,00424  
4,04349  	1327,82048  	199,92260  	199,94128  	26,52806  	0,05018  	0,01274  	56986,95971  	0,19741  	0,18502  	1,74324  	1,74001  	4658,89693  	110,63914  	58,26458  	16819067,97101  	0,26614  	32,15703  	NaN  	NaN  	0,00389  	0,00492  	0,00395  	0,00805  	882,74758  	0,00400  	0,00424  
5,04449  	311,47094  	-244,98909  	771,36049  	26,52849  	0,05082  	0,01311  	85706,53851  	0,20122  	0,19033  	1,74901  	1,74578  	8206,33730  	385,93601  	59,38792  	25295332,54600  	340,30965  	6,92308  	NaN  	NaN  	0,00389  	0,00493  	0,00395  	0,00806  	1327,62170  	0,00400  	0,00425  
6,04530  	773,94800  	773,90525  	308,88341  	26,52901  	0,04818  	0,01317  	19935,69637  	0,20401  	0,19118  	1,75067  	1,74744  	3799352,16767  	74145,85142  	60,21168  	5883799,27730  	3,11469  	0,19026  	NaN  	NaN  	0,00389  	0,00495  	0,00395  	0,00807  	308,81339  	0,00399  	0,00425  
7,04555  	305,17970  	305,15662  	-244,98909  	26,53005  	0,04378  	0,01319  	50193,97843  	0,19776  	0,19153  	1,74874  	1,74551  	223,24090  	167,02105  	58,36572  	14814195,02244  	385,25509  	292,32259  	NaN  	NaN  	0,00389  	0,00492  	0,00395  	0,00806  	777,52245  	0,00398  	0,00425  
8,04676  	-244,98909  	-244,98909  	779,01973  	26,53059  	0,04958  	0,01323  	19608,32555  	0,19945  	0,19203  	1,74506  	1,74183  	8809,12865  	2297,59900  	58,86661  	5787179,41579  	32,65751  	6,25161  	NaN  	NaN  	0,00389  	0,00493  	0,00395  	0,00805  	303,74233  	0,00400  	0,00425  
9,04794  	781,35709  	-244,98909  	1327,82053  	26,53095  	0,04346  	0,01321  	50433,15629  	0,20194  	0,19172  	1,74768  	1,74445  	3848951,59772  	241434,06417  	59,60038  	14884785,70968  	2,98799  	0,17160  	NaN  	NaN  	0,00389  	0,00494  	0,00395  	0,00806  	781,22738  	0,00398  	0,00425  
10,04802  	1327,82048  	784,86578  	1327,82053  	26,53133  	0,04854  	0,01317  	85706,53851  	0,19960  	0,19123  	1,74609  	1,74286  	518771260,33772  	3111035,47737  	58,90959  	25295332,54600  	0,27507  	0,01005  	-Inf  	-Inf  	0,00389  	0,00493  	0,00395  	0,00806  	1327,62170  	0,00400  	0,00425  
11,04813  	1327,82048  	294,97364  	1327,82053  	26,53226  	0,04853  	0,01318  	85706,53851  	0,19897  	0,19130  	1,74981  	1,74658  	95615132,17814  	5916271,18926  	58,72323  	25295332,54600  	0,27518  	0,03145  	-Inf  	-Inf  	0,00389  	0,00492  	0,00395  	0,00807  	1327,62170  	0,00400  	0,00425  
12,04759  	1327,82048  	789,98374  	292,80424  	26,53280  	0,04662  	0,01323  	18897,81036  	0,19815  	0,19199  	1,74440  	1,74117  	6642974,62572  	2736026,91060  	58,48229  	5577478,75253  	0,27618  	0,18412  	NaN  	NaN  	0,00389  	0,00492  	0,00395  	0,00805  	292,73626  	0,00399  	0,00425  
13,04809  	1327,82048  	291,63845  	791,17046  	26,53358  	0,05301  	0,01317  	51066,59220  	0,19893  	0,19119  	1,74739  	1,74416  	6616114,42853  	3125302,45961  	58,71191  	15071737,28097  	0,27502  	0,20930  	NaN  	NaN  	0,00389  	0,00492  	0,00395  	0,00806  	791,03947  	0,00401  	0,00425  
14,04772  	1327,82048  	792,08488  	290,70301  	26,53510  	0,04053  	0,01316  	18762,17928  	0,19859  	0,19106  	1,74598  	1,74275  	6610480,05791  	2398882,41008  	58,61237  	5537448,74556  	0,27483  	0,16007  	NaN  	NaN  	0,00389  	0,00492  	0,00395  	0,00806  	290,63529  	0,00397  	0,00425  
15,05031  	289,14296  	1327,75450  	793,68847  	26,53528  	0,04628  	0,01318  	51229,12567  	0,20084  	0,19141  	1,74814  	1,74492  	107581579,12295  	145,55652  	59,27534  	15119707,22943  	525,93034  	0,00942  	-Inf  	-Inf  	0,00389  	0,00493  	0,00394  	0,00806  	793,55716  	0,00399  	0,00425  
16,05040  	795,17571  	1327,75450  	287,65570  	26,53475  	0,04797  	0,01318  	18565,47993  	0,20239  	0,19133  	1,74990  	1,74667  	54841067,17896  	198572,02155  	59,73366  	5479395,11962  	2,74848  	0,03171  	NaN  	NaN  	0,00389  	0,00494  	0,00395  	0,00807  	287,58837  	0,00399  	0,00425  
17,04988  	284,30973  	284,28753  	798,52169  	26,53480  	0,04552  	0,01319  	51541,10289  	0,19891  	0,19145  	1,75033  	1,74710  	1312345,05628  	132,25781  	58,70631  	15211783,83912  	579,72254  	0,17973  	-Inf  	-Inf  	0,00389  	0,00492  	0,00395  	0,00807  	798,38977  	0,00399  	0,00425  
18,05042  	-244,98909  	-244,98909  	1327,82053  	26,53543  	0,04744  	0,01320  	18214,40031  	0,20088  	0,19161  	1,74991  	1,74668  	1383711,09820  	3376,55859  	59,28607  	5375777,87001  	32,58838  	0,18732  	NaN  	NaN  	0,00389  	0,00493  	0,00394  	0,00807  	282,15005  	0,00399  	0,00425  
19,05040  	801,87296  	801,82904  	1327,82053  	26,53611  	0,04732  	0,01321  	51757,42447  	0,20317  	0,19173  	1,75202  	1,74879  	326066491,34293  	104887,62423  	59,96349  	15275628,74989  	2,64925  	0,00947  	-Inf  	-Inf  	0,00389  	0,00494  	0,00395  	0,00807  	801,74065  	0,00399  	0,00425  
20,05039  	279,59527  	279,57326  	279,59528  	26,53758  	0,04666  	0,01316  	85706,53851  	0,20115  	0,19104  	1,75370  	1,75046  	11586,70169  	0,00560  	59,36831  	25295332,54600  	636,78271  	4,61012  	-Inf  	-Inf  	0,00389  	0,00493  	0,00395  	0,00807  	1327,62170  	0,00399  	0,00425  
21,05023  	804,59937  	804,55534  	-244,98909  	26,53832  	0,05251  	0,01321  	85706,53851  	0,20149  	0,19182  	1,75095  	1,74772  	35963,26501  	237651,98842  	59,46889  	25295332,54600  	2,60908  	5,16805  	NaN  	NaN  	0,00389  	0,00493  	0,00395  	0,00807  	1327,62170  	0,00401  	0,00425  
22,05040  	1327,82048  	1327,75450  	-244,98909  	26,53900  	0,04945  	0,01317  	85706,53851  	0,20132  	0,19121  	1,74885  	1,74562  	6614863,45664  	9179526,23918  	59,41681  	25295332,54600  	0,27504  	0,19529  	NaN  	NaN  	0,00389  	0,00493  	0,00394  	0,00806  	1327,62170  	0,00400  	0,00425  
23,05003  	1327,82048  	1327,75450  	-244,98909  	26,53942  	0,04821  	0,01323  	17808,31043  	0,19961  	0,19201  	1,74457  	1,74134  	6642656,57335  	8949339,97620  	58,91237  	5255924,95379  	0,27620  	0,19039  	NaN  	NaN  	0,00389  	0,00493  	0,00395  	0,00805  	275,85960  	0,00399  	0,00425  
24,05213  	274,97917  	274,95736  	807,85225  	26,54064  	0,04264  	0,01317  	-15815,93170  	0,19955  	0,19118  	1,75119  	1,74795  	1263079,00187  	119,74135  	58,89478  	-4667896,50935  	700,85056  	0,16835  	-Inf  	-Inf  	0,00389  	0,00493  	0,00395  	0,00807  	-244,98909  	0,00398  	0,00425  
