08/20/2024 08:52:34Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
1,82176  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	0,00000  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-10538,85923  	-4129,67639  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
2,82331  	22,60229  	21,78367  	21,54524  	22,71010  	-1,18515  	0,00000  	0,22240  	0,25636  	0,10149  	-0,01813  	1,00667  	0,04577  	-1,18204  	75,66233  	65,63901  	652,65495  	-7440,47288  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00746  	-0,00000  	0,00413  
3,82483  	22,60220  	21,78224  	21,54451  	22,71001  	-1,18516  	0,00000  	0,22244  	0,25636  	0,10141  	-0,01699  	1,00856  	0,04574  	-1,17860  	75,66304  	65,65167  	652,15273  	-7440,33440  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00746  	-0,00000  	0,00413  
4,82730  	22,60295  	21,78237  	21,54443  	22,71068  	-1,18516  	0,00000  	0,22287  	0,25622  	0,10111  	-0,01591  	1,00757  	0,04557  	-1,17958  	75,62087  	65,77727  	650,20702  	-7440,31859  	-Inf  	-Inf  	0,00397  	0,00635  	0,00519  	0,00000  	0,00746  	-0,00000  	0,00413  
5,82909  	22,60281  	21,78262  	21,54464  	22,71024  	-1,18516  	0,00000  	0,22297  	0,25644  	0,10086  	-0,01728  	1,00822  	0,04533  	-1,17982  	75,68638  	65,80772  	648,58056  	-7440,38704  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00747  	-0,00000  	0,00413  
6,83077  	22,60397  	21,78341  	21,54437  	22,70971  	-1,18516  	0,00000  	0,22203  	0,25552  	0,10075  	-0,01831  	1,00654  	0,04456  	-1,18507  	75,41425  	65,52998  	647,87362  	-7440,43784  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00745  	-0,00000  	0,00413  
7,83347  	22,60384  	21,78374  	21,54434  	22,70783  	-1,18516  	0,00000  	0,22217  	0,25568  	0,10030  	-0,01802  	1,00861  	0,04363  	-1,18690  	75,45982  	65,56998  	645,00257  	-7440,46231  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00745  	-0,00000  	0,00413  
8,83512  	22,60428  	21,78317  	21,54487  	22,70710  	-1,18515  	0,00000  	0,22139  	0,25500  	0,10036  	-0,01708  	1,00620  	0,04316  	-1,18141  	75,25908  	65,34210  	645,33936  	-7440,39311  	-Inf  	-Inf  	0,00396  	0,00635  	0,00518  	0,00000  	0,00744  	-0,00000  	0,00413  
9,83436  	22,60422  	21,78298  	21,54526  	22,70829  	-1,18515  	0,00000  	0,22177  	0,25494  	0,09986  	-0,01804  	1,00773  	0,04347  	-1,17854  	75,24388  	65,45433  	642,15012  	-7440,41664  	-Inf  	-Inf  	0,00396  	0,00635  	0,00518  	0,00000  	0,00745  	-0,00000  	0,00413  
10,83569  	22,60450  	21,78239  	21,54483  	22,70918  	-1,18516  	0,00000  	0,22220  	0,25584  	0,10049  	-0,01704  	1,00846  	0,04400  	-1,17774  	75,50978  	65,57922  	646,19467  	-7440,33677  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00745  	-0,00000  	0,00413  
11,83983  	22,60520  	21,78272  	21,54570  	22,71078  	-1,18516  	0,00000  	0,22196  	0,25594  	0,10107  	-0,01796  	1,00805  	0,04464  	-1,17506  	75,53665  	65,50880  	649,96311  	-7440,47499  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00745  	-0,00000  	0,00413  
12,83946  	22,60553  	21,78318  	21,54578  	22,71089  	-1,18515  	0,00000  	0,22178  	0,25420  	0,10059  	-0,01688  	1,00744  	0,04434  	-1,17695  	75,02483  	65,45468  	646,89711  	-7440,49063  	-Inf  	-Inf  	0,00396  	0,00635  	0,00518  	0,00000  	0,00745  	-0,00000  	0,00413  
13,83961  	22,60605  	21,78251  	21,54557  	22,70931  	-1,18516  	0,00000  	0,22184  	0,25563  	0,10068  	-0,01750  	1,00725  	0,04349  	-1,17464  	75,44500  	65,47307  	647,48576  	-7440,44317  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00745  	-0,00000  	0,00413  
14,84121  	22,60572  	21,78358  	21,54457  	22,71000  	-1,18514  	0,00000  	0,22163  	0,25545  	0,10041  	-0,01807  	1,00767  	0,04380  	-1,18490  	75,39261  	65,41122  	645,70592  	-7440,33616  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00745  	-0,00000  	0,00413  
15,84325  	22,60585  	21,78352  	21,54522  	22,70900  	-1,18517  	0,00000  	0,22197  	0,25593  	0,10078  	-0,01796  	1,00630  	0,04349  	-1,18141  	75,53554  	65,51274  	648,11515  	-7440,54514  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00745  	-0,00000  	0,00413  
16,84534  	22,60497  	21,78418  	21,54493  	22,70632  	-1,18514  	0,00000  	0,22270  	0,25591  	0,10098  	-0,01740  	1,00818  	0,04281  	-1,18608  	75,52852  	65,72644  	649,33332  	-7440,43203  	-Inf  	-Inf  	0,00396  	0,00635  	0,00519  	0,00000  	0,00746  	-0,00000  	0,00413  
