08/20/2024 09:15:23Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
1,81743  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	0,00000  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-10538,85923  	-4129,67639  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
2,82006  	22,91939  	21,85440  	21,59342  	23,02656  	-1,18516  	0,00000  	0,30274  	0,35142  	0,10019  	-0,01692  	1,06026  	0,04492  	-1,29388  	103,71753  	89,35122  	649,21193  	-7451,30872  	-Inf  	-Inf  	0,00396  	0,00647  	0,00563  	0,00000  	0,00870  	-0,00000  	0,00413  
3,82207  	22,91996  	21,85458  	21,59314  	23,02731  	-1,18516  	0,00000  	0,30235  	0,35195  	0,09976  	-0,01768  	1,06021  	0,04480  	-1,29613  	103,87410  	89,23596  	646,42730  	-7451,30748  	-Inf  	-Inf  	0,00396  	0,00647  	0,00563  	0,00000  	0,00870  	-0,00000  	0,00413  
4,82271  	22,91996  	21,85291  	21,59334  	23,02809  	-1,18515  	0,00000  	0,30187  	0,35119  	0,10031  	-0,01832  	1,06068  	0,04537  	-1,28684  	103,65126  	89,09258  	649,97059  	-7451,10577  	-Inf  	-Inf  	0,00396  	0,00647  	0,00563  	0,00000  	0,00869  	-0,00000  	0,00413  
5,82370  	22,92066  	21,85401  	21,59371  	23,02855  	-1,18518  	0,00000  	0,30284  	0,35114  	0,10074  	-0,01749  	1,06071  	0,04547  	-1,29051  	103,63451  	89,38084  	652,79498  	-7451,38678  	-Inf  	-Inf  	0,00396  	0,00647  	0,00563  	0,00000  	0,00870  	-0,00000  	0,00413  
6,82333  	22,92077  	21,85400  	21,59337  	23,02855  	-1,18515  	0,00000  	0,30266  	0,35175  	0,10083  	-0,01741  	1,06161  	0,04546  	-1,29206  	103,81526  	89,32677  	653,36264  	-7451,18861  	-Inf  	-Inf  	0,00396  	0,00647  	0,00563  	0,00000  	0,00870  	-0,00000  	0,00413  
7,82346  	22,92047  	21,85430  	21,59365  	23,02796  	-1,18516  	0,00000  	0,30200  	0,35271  	0,09967  	-0,01747  	1,06090  	0,04481  	-1,29221  	104,09940  	89,13147  	645,83004  	-7451,32602  	-Inf  	-Inf  	0,00396  	0,00647  	0,00564  	0,00000  	0,00869  	-0,00000  	0,00413  
8,82668  	22,92059  	21,85379  	21,59403  	23,02894  	-1,18516  	0,00000  	0,30345  	0,35273  	0,10054  	-0,01709  	1,06206  	0,04557  	-1,28779  	104,10313  	89,56027  	651,48336  	-7451,27815  	-Inf  	-Inf  	0,00396  	0,00648  	0,00564  	0,00000  	0,00871  	-0,00000  	0,00413  
9,82808  	22,92107  	21,85421  	21,59375  	23,02903  	-1,18516  	0,00000  	0,30247  	0,35146  	0,10134  	-0,01813  	1,06139  	0,04577  	-1,29130  	103,73040  	89,27055  	656,68299  	-7451,32439  	-Inf  	-Inf  	0,00396  	0,00647  	0,00563  	0,00000  	0,00870  	-0,00000  	0,00413  
10,82982  	22,92127  	21,85400  	21,59372  	23,02917  	-1,18516  	0,00000  	0,30216  	0,35136  	0,10106  	-0,01775  	1,05935  	0,04561  	-1,29036  	103,70061  	89,17950  	654,88171  	-7451,28579  	-Inf  	-Inf  	0,00396  	0,00647  	0,00563  	0,00000  	0,00869  	-0,00000  	0,00413  
11,82982  	22,92156  	21,85445  	21,59350  	23,03011  	-1,18515  	0,00000  	0,30212  	0,35150  	0,10094  	-0,01694  	1,06096  	0,04583  	-1,29370  	103,74021  	89,16875  	654,12187  	-7451,27441  	-Inf  	-Inf  	0,00396  	0,00647  	0,00563  	0,00000  	0,00869  	-0,00000  	0,00413  
