08/20/2024 08:34:34Time	T_hot_in(C)	T_cold_in(C)	T_cold_out(C)	T_hot_out(C)	mdot_cold(kg/s)	ASFASIFUAS(kg/s)	Diferencial_cold(bar)	Diferencial_hot(bar)	mdot_hot(kg/s)	ABS_cold(bar)	ABS_hot(bar)	q_cold(kW)	q_hot(kW)	ASFASYFY	Tau_cold_haste	Re_hot	Re_cold	U_global	PSIG_cold(bar)	R_fouling	PSIG_hot(bar)	PSID_hot(bar)	m_dot_hot	PSID_cold(bar)	m_dot_cold
1,81796  	0,00000  	0,00000  	0,00000  	0,00000  	-1,18512  	0,00000  	-0,25900  	-0,86180  	-3,02442  	-1,72343  	-1,72415  	-0,00000  	-0,00000  	-254,35069  	-76,44127  	-10538,85923  	-4129,67639  	NaN  	NaN  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  	0,00000  
2,82036  	22,21265  	21,73841  	21,50888  	22,08527  	-1,18514  	0,00000  	0,12314  	0,14626  	0,10270  	-0,01824  	0,88726  	0,05472  	-1,13791  	43,16849  	36,34305  	652,39813  	-7433,00576  	-Inf  	-Inf  	0,00396  	0,00607  	0,00468  	0,00000  	0,00592  	-0,00000  	0,00414  
3,82041  	22,22521  	21,73766  	21,50846  	22,10169  	-1,18516  	0,00000  	0,12279  	0,14599  	0,10255  	-0,01791  	0,88777  	0,05299  	-1,13629  	43,08637  	36,23942  	651,66781  	-7433,02245  	-Inf  	-Inf  	0,00396  	0,00607  	0,00468  	0,00000  	0,00591  	-0,00000  	0,00414  
4,82148  	22,23245  	21,73764  	21,50892  	22,11251  	-1,18517  	0,00000  	0,12259  	0,14601  	0,10206  	-0,01816  	0,88702  	0,05120  	-1,13395  	43,09319  	36,18172  	648,67816  	-7433,10608  	-Inf  	-Inf  	0,00396  	0,00607  	0,00468  	0,00000  	0,00591  	-0,00000  	0,00413  
5,82196  	22,23973  	21,73895  	21,50991  	22,12391  	-1,18517  	0,00000  	0,12280  	0,14611  	0,10276  	-0,01787  	0,88745  	0,04979  	-1,13553  	43,12198  	36,24309  	653,27137  	-7433,32682  	-Inf  	-Inf  	0,00396  	0,00607  	0,00468  	0,00000  	0,00591  	-0,00000  	0,00414  
6,82244  	22,24781  	21,73877  	21,51051  	22,13425  	-1,18516  	0,00000  	0,12292  	0,14603  	0,10221  	-0,01703  	0,88665  	0,04856  	-1,13161  	43,09821  	36,27725  	649,95282  	-7433,30288  	-Inf  	-Inf  	0,00396  	0,00607  	0,00468  	0,00000  	0,00592  	-0,00000  	0,00414  
7,82496  	22,25467  	21,73910  	21,51023  	22,14598  	-1,18517  	0,00000  	0,12278  	0,14594  	0,10291  	-0,01713  	0,88707  	0,04679  	-1,13465  	43,07241  	36,23826  	654,55032  	-7433,35767  	-Inf  	-Inf  	0,00396  	0,00607  	0,00468  	0,00000  	0,00591  	-0,00000  	0,00414  
8,82726  	22,26144  	21,73886  	21,51106  	22,15763  	-1,18515  	0,00000  	0,12292  	0,14599  	0,10255  	-0,01680  	0,88762  	0,04453  	-1,12935  	43,08670  	36,27888  	652,36320  	-7433,28667  	-Inf  	-Inf  	0,00396  	0,00607  	0,00468  	0,00000  	0,00592  	-0,00000  	0,00414  
9,82644  	22,26642  	21,73820  	21,51051  	22,16925  	-1,18516  	0,00000  	0,12357  	0,14638  	0,10226  	-0,01796  	0,88792  	0,04157  	-1,12880  	43,20122  	36,46936  	650,71000  	-7433,24296  	-Inf  	-Inf  	0,00396  	0,00607  	0,00468  	0,00000  	0,00593  	-0,00000  	0,00414  
10,82975  	22,27089  	21,73917  	21,50975  	22,17903  	-1,18518  	0,00000  	0,12275  	0,14558  	0,10304  	-0,01713  	0,88645  	0,03960  	-1,13738  	42,96647  	36,22783  	655,74446  	-7433,36919  	-Inf  	-Inf  	0,00396  	0,00607  	0,00468  	0,00000  	0,00591  	-0,00000  	0,00414  
